,Wonderwomen,Miss Langtry,Starsongari,Kenyan Wonder,Lianne,Shez Betty,Sassy Maneuver,Sunny Green
07-01-2023 11:56:55.833750,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.6083333333333334)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:56:57.025444,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.6083333333333334)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:56:58.165338,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.6083333333333334)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:56:59.259803,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.6083333333333334)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:57:00.279956,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.5964285714285715)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:57:01.372005,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.5964285714285715)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:57:02.460050,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.5964285714285715)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:57:03.543822,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.5964285714285715)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:57:04.699536,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.5964285714285715)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
07-01-2023 11:57:05.803892,"(2.25, 2.5, 2.440923076923077)","(8.0, 10.0, 9.651612903225805)","(3.0, 3.65, 3.5964285714285715)","(6.0, 8.0, 7.45)","(15.0, 30.0, 22.5)","(31.0, 65.0, 39.22222222222222)","(26.0, 75.0, 55.5)","(31.0, 230.0, 70.0)"
