,Orlandos Gift,Kyvalley Surfergirl,Irene Rose,Our Spitfire Nz,Great Fantasy Nz,Winsome Ruby,Meet Michaelangelo,Lovelorn,My Bad Habits,Farbio,Scenic Sky,Super Angus
07-01-2023 18:44:22.160262,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 147.14285714285714)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:23.646766,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:25.351619,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:26.816449,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:28.304220,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:29.733341,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:31.134793,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:32.539444,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:34.026022,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
07-01-2023 18:44:35.488083,"(11.0, 18.5, 16.7)","(9.0, 13.5, 11.75)","(4.4, 5.7, 4.616666666666667)","(6.0, 99999, 99990)","(20.0, 99999, 99990)","(41.0, 120.0, 85.0)","(71.0, 190.0, 162.85714285714286)","(5.0, 8.0, 7.275)","(5.5, 10.0, 9.4)","(101.0, 170.0, 150.0)","(31.0, 65.0, 47.0)","(5.0, 6.8, 6.05)"
