,Senorita Brooke,Purrfect Moon,Cinnamon Face,Miz Cali,How Bout Me,Aspen Wonder,Cranky Sheila,Trickskis Gold,Biogenic Babe
15-12-2022 14:08:49.728607,"(10.0, 16.0, 14.166666666666666)","(5.0, 9.2, 7.960000000000001)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 16.25)","(3.9, 9.2, 5.625)","(31.0, 360.0, 325.0)","(31.0, 550.0, 351.3333333333333)","(15.0, 34.0, 27.0)","(2.7, 2.74, 2.625714285714286)"
15-12-2022 14:08:50.930739,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 7.720000000000001)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 27.0)","(2.7, 2.74, 2.625714285714286)"
15-12-2022 14:08:52.111431,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 7.720000000000001)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.74, 2.625714285714286)"
15-12-2022 14:08:53.318555,"(10.0, 16.0, 13.28)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 5.625)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.74, 2.715)"
15-12-2022 14:08:54.539071,"(10.0, 16.0, 13.44)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 5.625)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.78, 2.61)"
15-12-2022 14:08:55.853868,"(10.0, 16.0, 13.933333333333334)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:08:57.090399,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:08:58.338877,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 5.625)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:08:59.631499,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 5.625)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:00.886732,"(10.0, 16.0, 13.44)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 5.625)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:02.301745,"(10.0, 16.0, 13.6)","(5.0, 8.8, 8.38)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:03.770105,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.2)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:04.992039,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.2)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 5.625)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:06.277018,"(10.0, 16.0, 13.52)","(5.0, 8.8, 8.2)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 5.625)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:07.457938,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.2)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:08.621125,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 8.2)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 16.25)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:09.749364,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 7.720000000000001)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 17.857142857142858)","(3.9, 8.6, 6.4363636363636365)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:10.842953,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 7.720000000000001)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 17.857142857142858)","(3.9, 8.6, 5.6571428571428575)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:11.943228,"(10.0, 16.0, 13.44)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 15.363636363636363)","(3.9, 8.4, 6.133333333333334)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:13.064926,"(10.0, 16.0, 13.44)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 15.09090909090909)","(3.9, 8.0, 6.066666666666666)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:14.252083,"(10.0, 16.0, 13.933333333333334)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.5, 15.09090909090909)","(3.9, 7.8, 6.4)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:15.467545,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.5, 15.09090909090909)","(3.9, 8.2, 6.444444444444445)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:16.746650,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.5, 17.857142857142858)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.6225)"
15-12-2022 14:09:18.014323,"(10.0, 16.0, 14.899999999999999)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 15.363636363636363)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:19.253613,"(10.0, 16.0, 13.6)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 15.363636363636363)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:20.448733,"(10.0, 16.0, 13.6)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.5, 16.0)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:21.604335,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.5, 15.09090909090909)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:22.722786,"(10.0, 16.0, 12.7)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.5, 17.857142857142858)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:23.842722,"(10.0, 16.0, 13.933333333333334)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 17.857142857142858)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:24.932697,"(10.0, 16.0, 13.6)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 15.363636363636363)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:26.055592,"(10.0, 16.0, 14.166666666666666)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 19.0, 16.25)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:27.182811,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 14.23076923076923)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:28.394922,"(10.0, 16.0, 13.933333333333334)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 18.0, 15.875)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:29.568574,"(10.0, 16.0, 14.64)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.466666666666667)","(11.0, 17.5, 15.0)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:30.762127,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.75)","(11.0, 17.0, 15.0)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:31.992326,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.0)","(6.0, 7.8, 6.390000000000001)","(11.0, 17.0, 15.666666666666668)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 325.0)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:33.210604,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.666666666666668)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 323.7142857142857)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:34.427056,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.666666666666668)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 323.7142857142857)","(31.0, 1000.0, 351.3333333333333)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:35.683359,"(10.0, 16.0, 13.8)","(5.0, 8.8, 8.0)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 14.75)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 444.0)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:36.883394,"(10.0, 16.0, 14.428571428571429)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 14.75)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 444.0)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:38.188423,"(10.0, 16.0, 14.428571428571429)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 14.75)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 444.0)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:39.314114,"(10.0, 16.0, 14.428571428571429)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 14.75)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 444.0)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:40.485836,"(10.0, 16.0, 13.25)","(5.0, 8.8, 7.960000000000001)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.0)","(3.9, 8.0, 5.666666666666667)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
15-12-2022 14:09:41.620900,"(10.0, 16.0, 14.0)","(5.0, 8.8, 8.414285714285715)","(6.0, 8.0, 6.390000000000001)","(11.0, 18.0, 15.642857142857142)","(3.9, 8.0, 6.444444444444445)","(31.0, 340.0, 293.3333333333333)","(31.0, 1000.0, 221.6)","(15.0, 34.0, 25.799999999999997)","(2.7, 2.76, 2.61)"
