,Coastal Run,Tothemoonandback,Raging Lady,Sweet Honor,Hollywood Mistress,Mischievous Effort,Janero Rose,Seven Sisters,Palace Star,Speedy Gigi,Dazzling Mist,Lovely Linda
12-01-2023 08:02:03.792740,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:04.992474,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:06.132735,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:07.238272,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:08.332967,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:09.473899,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:10.612911,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:11.733108,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:12.812808,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
12-01-2023 08:02:13.905983,"(10.0, 99999, 99990)","(31.0, 99999, 99990)","(21.0, 99999, 99990)","(10.0, 99999, 99990)","(6.0, 99999, 99990)","(11.0, 99999, 99990)","(5.0, 99999, 99990)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(6.5, 99999, 99990)","(4.4, 99999, 99990)","(16.0, 99999, 99990)"
