,Buckle Up Eli,Black Danger,Nitro Harvey,Ticket To Tokyo,Buckle Up Adalyn,Hot Danger,Boys All Class
10-01-2023 13:23:39.620084,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 42.8)","(61.0, 540.0, 297.5)"
10-01-2023 13:23:40.933992,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 42.8)","(61.0, 520.0, 297.5)"
10-01-2023 13:23:42.338502,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 40.8)","(61.0, 520.0, 297.5)"
10-01-2023 13:23:43.708715,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 40.8)","(61.0, 520.0, 302.5)"
10-01-2023 13:23:44.962943,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 40.8)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:46.122874,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 40.8)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:47.322091,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 40.8)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:48.583271,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 40.8)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:49.772837,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 40.8)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:50.913542,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 40.8)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:52.073661,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 100.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:53.172395,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:54.228747,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:55.443713,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
10-01-2023 13:23:56.679306,"(2.7, 6.4, 5.633333333333334)","(2.3, 3.65, 3.3625)","(2.4, 2.44, 2.32)","(71.0, 470.0, 162.5)","(41.0, 130.0, 54.8)","(31.0, 110.0, 57.5)","(61.0, 530.0, 302.5)"
