,Festival Dancer,Saigon,Frumos,Orbital Express,Charity Spirit,Oh Golly Gosh
07-01-2023 13:26:08.757168,"(3.6, 4.5, 4.439130434782609)","(5.5, 6.8, 6.702564102564102)","(2.1, 2.44, 2.4096103896103895)","(16.0, 26.0, 23.857142857142858)","(8.5, 10.5, 9.736585365853658)","(14.0, 17.0, 15.051724137931034)"
07-01-2023 13:26:09.723815,"(3.6, 4.5, 4.439130434782609)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.426890756302521)","(16.0, 26.0, 23.857142857142858)","(8.5, 10.0, 9.736585365853658)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:10.814034,"(3.6, 4.5, 4.439130434782609)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.426890756302521)","(16.0, 26.0, 23.857142857142858)","(8.5, 10.0, 9.736585365853658)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:12.073839,"(3.6, 4.5, 4.406666666666667)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.430487804878049)","(16.0, 26.0, 23.857142857142858)","(8.5, 10.0, 9.736585365853658)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:13.216719,"(3.6, 4.5, 4.401923076923078)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.4329729729729728)","(16.0, 26.0, 23.857142857142858)","(8.5, 10.0, 9.736585365853658)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:14.292931,"(3.6, 4.5, 4.401923076923078)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.4329729729729728)","(16.0, 26.0, 24.428571428571427)","(8.5, 10.0, 9.736585365853658)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:15.370908,"(3.6, 4.5, 4.401923076923078)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.4329729729729728)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.770212765957448)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:16.432719,"(3.6, 4.5, 4.401923076923078)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.4329729729729728)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.770212765957448)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:17.544451,"(3.6, 4.5, 4.401923076923078)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.4329729729729728)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.770212765957448)","(14.0, 16.5, 15.051724137931034)"
07-01-2023 13:26:18.617792,"(3.6, 4.5, 4.401923076923078)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.44, 2.42)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(14.0, 16.5, 15.3)"
07-01-2023 13:26:19.693302,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.408294930875576)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(14.0, 16.5, 15.3)"
07-01-2023 13:26:20.769425,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.405232558139535)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(14.0, 16.5, 15.3)"
07-01-2023 13:26:21.909295,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.405232558139535)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(14.0, 16.5, 15.3)"
07-01-2023 13:26:23.045384,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.4032894736842105)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(14.0, 16.5, 15.3)"
07-01-2023 13:26:24.148558,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.4032894736842105)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(14.0, 16.5, 15.3)"
07-01-2023 13:26:25.134979,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.4046728971962614)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(13.0, 16.5, 15.3)"
07-01-2023 13:26:26.113023,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(13.0, 16.5, 15.3)"
07-01-2023 13:26:27.225953,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.742857142857144)","(13.0, 16.5, 15.3)"
07-01-2023 13:26:28.335254,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.55)","(13.0, 16.5, 15.3)"
07-01-2023 13:26:29.409760,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.55)","(13.0, 16.5, 16.181818181818183)"
07-01-2023 13:26:30.442134,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.55)","(13.0, 16.5, 16.181818181818183)"
07-01-2023 13:26:31.408117,"(3.6, 4.5, 4.445744680851064)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 24.428571428571427)","(8.5, 10.0, 9.549999999999999)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:32.505175,"(3.6, 4.5, 4.435443037974684)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.549999999999999)","(13.0, 16.5, 16.155555555555555)"
07-01-2023 13:26:33.697160,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.406578947368421)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.155555555555555)"
07-01-2023 13:26:34.841519,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.409259259259259)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
07-01-2023 13:26:35.904278,"(3.6, 4.5, 4.415)","(5.5, 6.8, 6.761224489795918)","(2.1, 2.42, 2.409259259259259)","(16.0, 27.0, 23.4)","(8.5, 10.0, 9.466666666666667)","(13.0, 16.5, 16.166666666666668)"
