,Scotch Queen,Instant Gold,Free At Night,Showtime Joe,Drop Anchor,Sunshine Girl,Princess Waters,Hidden Radar
07-12-2022 19:33:41.623408,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:42.937404,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:44.256018,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:45.613462,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:46.932985,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:48.249876,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:49.572068,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:50.883481,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:52.312371,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
07-12-2022 19:33:53.759198,"(15.0, 42.0, 34.875)","(4.0, 6.4, 4.5625)","(2.9, 4.5, 3.7346666666666666)","(3.0, 5.0, 4.084444444444444)","(20.0, 70.0, 46.36363636363637)","(101.0, 730.0, 620.8333333333334)","(6.5, 14.0, 11.714285714285714)","(10.0, 24.0, 23.013333333333335)"
