,Itsallaboutjack,Imperial Snapper,Blowup,Heavenly Belle,Ruby Baby Nz,Glenn Ford Nz,Silver Lady Nz,Spirit King,Smooth Rolling
06-01-2023 17:01:02.007060,"(6.0, 11.0, 8.3)","(41.0, 180.0, 60.0)","(5.5, 10.0, 8.775)","(5.0, 10.0, 9.55)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:03.193906,"(6.0, 11.0, 8.3)","(41.0, 180.0, 60.0)","(5.5, 10.0, 7.6)","(5.0, 10.0, 9.55)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:04.455326,"(6.0, 11.0, 8.3)","(41.0, 180.0, 60.0)","(5.5, 10.0, 7.6)","(5.0, 10.0, 9.55)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:05.664703,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 7.6)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:06.913751,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.907142857142858)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:08.229739,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.907142857142858)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:09.522557,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 7.5)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:10.779755,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 6.699999999999999)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:12.064013,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:13.333485,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:14.620574,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 8.940000000000001)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:15.897153,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:17.177118,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:18.493383,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:19.734813,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 8.775)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:20.989032,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:22.272789,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:23.500109,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:24.684305,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:25.843400,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:26.934444,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:28.100646,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:29.234007,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:30.399896,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:31.570173,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:32.713310,"(6.0, 11.0, 8.3)","(41.0, 180.0, 60.0)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:33.938314,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:35.125148,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:36.328288,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:37.520221,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:38.659836,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:39.783651,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:40.920971,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:42.126533,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 7.5)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:43.330840,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 8.333333333333334)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:44.560350,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 8.333333333333334)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:45.730973,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 8.333333333333334)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:46.854670,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 8.333333333333334)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:47.999020,"(6.0, 11.0, 8.3)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 8.333333333333334)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:49.175824,"(6.0, 11.0, 7.25)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 8.333333333333334)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
06-01-2023 17:01:50.347163,"(6.0, 11.0, 7.25)","(41.0, 180.0, 77.14285714285714)","(5.5, 10.0, 6.625)","(5.0, 10.0, 8.333333333333334)","(6.0, 99999, 99990)","(5.0, 99999, 99990)","(12.0, 99999, 99990)","(4.2, 8.0, 5.466666666666667)","(20.0, 60.0, 30.0)"
