,Giulia,Sokudo,Petunia,Smart Star Prince,Silver Galaxy,Teranga,My Oddette,Sumnamilla,Rose Of Duporth
14-12-2022 13:54:27.529855,"(4.8, 5.8, 5.657142857142857)","(101.0, 240.0, 146.66666666666666)","(31.0, 60.0, 58.0)","(4.4, 6.4, 6.380434782608696)","(4.6, 5.8, 5.756521739130434)","(5.0, 6.4, 6.166666666666667)","(14.0, 20.0, 18.333333333333332)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:29.005249,"(4.8, 5.8, 5.657142857142857)","(101.0, 240.0, 146.66666666666666)","(31.0, 60.0, 58.0)","(4.4, 6.4, 6.380434782608696)","(4.6, 5.8, 5.756521739130434)","(5.0, 6.4, 6.166666666666667)","(14.0, 20.0, 18.333333333333332)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:30.427807,"(4.8, 5.8, 5.657142857142857)","(101.0, 240.0, 146.66666666666666)","(31.0, 60.0, 58.0)","(4.4, 6.4, 6.380434782608696)","(4.6, 5.8, 5.747368421052632)","(5.0, 6.4, 6.166666666666667)","(14.0, 20.0, 18.333333333333332)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:31.822428,"(4.8, 5.8, 5.657142857142857)","(101.0, 240.0, 146.66666666666666)","(31.0, 60.0, 58.0)","(4.4, 6.4, 6.380434782608696)","(4.6, 5.8, 5.747368421052632)","(5.0, 6.4, 6.166666666666667)","(14.0, 20.0, 18.333333333333332)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:33.232877,"(4.8, 5.8, 5.657142857142857)","(101.0, 240.0, 146.66666666666666)","(31.0, 60.0, 58.0)","(4.4, 6.4, 6.380434782608696)","(4.6, 5.8, 5.747368421052632)","(5.0, 6.4, 6.166666666666667)","(14.0, 20.0, 18.333333333333332)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:34.706244,"(4.8, 5.8, 5.657142857142857)","(101.0, 240.0, 146.66666666666666)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.747368421052632)","(5.0, 6.4, 6.166666666666667)","(14.0, 20.0, 18.333333333333332)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:36.201118,"(4.8, 5.8, 5.44)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.747368421052632)","(5.0, 6.4, 6.166666666666667)","(14.0, 20.0, 17.9)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:37.664919,"(4.8, 5.8, 5.44)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.747368421052632)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 17.75)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:39.019119,"(4.8, 5.8, 5.44)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.747368421052632)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 17.75)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
14-12-2022 13:54:40.354888,"(4.8, 5.8, 5.44)","(101.0, 230.0, 178.0)","(31.0, 60.0, 52.0)","(4.4, 6.4, 6.220000000000001)","(4.6, 5.8, 5.52)","(5.0, 6.4, 6.166666666666667)","(14.0, 19.5, 17.75)","(16.0, 23.0, 20.428571428571427)","(4.4, 5.3, 5.111940298507462)"
