,Blonde Pop,Go Bailee Go,Carter Obrien,Obsessive Dreams,Shes All Style,Slick Soldier,Zipping Bryce,Helping Hands
11-01-2023 13:21:53.755400,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:21:54.735851,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:21:55.784962,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:21:57.011301,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:21:58.181269,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:21:59.249888,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:00.364185,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:01.457849,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:02.594886,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:03.594098,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:04.635937,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:05.719064,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:06.764693,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:07.841089,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:08.922493,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:10.140912,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:11.316866,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:12.528355,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:13.618196,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:14.763684,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
11-01-2023 13:22:15.879303,"(5.5, 9.6, 6.48)","(4.6, 8.4, 5.28)","(3.1, 4.3, 3.209090909090909)","(11.0, 22.0, 21.1)","(81.0, 610.0, 523.3333333333334)","(4.4, 9.4, 4.826666666666667)","(4.0, 7.4, 5.640000000000001)","(26.0, 110.0, 68.5)"
