,Poppy Bluey,Tralee Revenge,Johns Call,Telford,Willina Girl,Mulberry Man
04-01-2023 14:28:00.191449,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:01.186887,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:02.273052,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:03.309639,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:04.312877,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:05.235053,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:06.227628,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:07.135827,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:08.021798,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
04-01-2023 14:28:08.983264,"(5.0, 15.5, 11.064285714285713)","(1.55, 1.65, 1.6484455958549222)","(11.0, 24.0, 21.22222222222222)","(4.0, 6.6, 4.32)","(41.0, 210.0, 98.14285714285714)","(15.0, 38.0, 21.636363636363637)"
