,Surprisingly Sweet,Dust Bunny,Lets Go Mo,Cosmological,Lilbitoglory,Mrs Bell,Ostellas Rose,Golden Phase,All That Magic
15-12-2022 11:02:19.985002,"(12.0, 19.5, 17.166666666666668)","(13.0, 15.5, 18.227272727272727)","(17.0, 25.0, 23.22222222222222)","(10.0, 18.5, 15.35)","(9.0, 16.0, 14.76)","(2.6, 3.05, 2.994642857142857)","(21.0, 99999, 99990)","(26.0, 55.0, 51.0)","(2.6, 2.88, 2.8145454545454545)"
15-12-2022 11:02:21.116711,"(12.0, 19.5, 17.166666666666668)","(13.0, 19.5, 18.227272727272727)","(17.0, 25.0, 23.22222222222222)","(10.0, 18.5, 15.35)","(9.0, 16.0, 14.76)","(2.6, 3.05, 2.994642857142857)","(21.0, 99999, 99990)","(26.0, 55.0, 51.0)","(2.6, 2.88, 2.8145454545454545)"
15-12-2022 11:02:22.244514,"(12.0, 19.5, 17.166666666666668)","(13.0, 19.5, 18.227272727272727)","(17.0, 25.0, 23.22222222222222)","(10.0, 18.5, 15.35)","(9.0, 16.0, 14.76)","(2.6, 3.05, 2.994642857142857)","(21.0, 99999, 99990)","(26.0, 55.0, 51.0)","(2.6, 2.88, 2.8145454545454545)"
15-12-2022 11:02:23.645616,"(12.0, 19.5, 17.166666666666668)","(13.0, 19.5, 16.4375)","(17.0, 25.0, 21.0)","(10.0, 18.5, 16.75)","(9.0, 16.0, 14.76)","(2.6, 3.05, 3.0016666666666665)","(21.0, 99999, 99990)","(26.0, 55.0, 51.0)","(2.6, 2.88, 2.8145454545454545)"
15-12-2022 11:02:24.906882,"(12.0, 19.5, 17.166666666666668)","(13.0, 19.5, 16.4375)","(17.0, 25.0, 21.0)","(10.0, 18.5, 16.75)","(9.0, 16.0, 14.76)","(2.6, 3.05, 3.0189285714285714)","(21.0, 99999, 99990)","(26.0, 55.0, 43.63636363636363)","(2.6, 2.88, 2.8145454545454545)"
15-12-2022 11:02:26.230870,"(12.0, 19.5, 17.333333333333332)","(13.0, 19.5, 14.444444444444445)","(17.0, 25.0, 19.642857142857142)","(10.0, 18.5, 16.75)","(9.0, 16.0, 14.76)","(2.6, 3.05, 3.0176)","(21.0, 99999, 99990)","(26.0, 50.0, 43.63636363636363)","(2.6, 2.88, 2.8145454545454545)"
15-12-2022 11:02:27.567485,"(12.0, 19.5, 17.333333333333332)","(13.0, 19.5, 14.444444444444445)","(17.0, 25.0, 19.642857142857142)","(10.0, 18.5, 16.75)","(9.0, 16.0, 14.76)","(2.6, 3.05, 3.0176)","(21.0, 99999, 99990)","(26.0, 50.0, 43.63636363636363)","(2.6, 2.88, 2.8145454545454545)"
15-12-2022 11:02:28.984914,"(12.0, 19.5, 17.333333333333332)","(13.0, 19.5, 14.444444444444445)","(17.0, 25.0, 21.875)","(10.0, 18.5, 17.72222222222222)","(9.0, 16.0, 12.555555555555555)","(2.6, 3.05, 3.025806451612903)","(21.0, 99999, 99990)","(26.0, 50.0, 39.5)","(2.6, 2.88, 2.7117241379310344)"
15-12-2022 11:02:30.460793,"(12.0, 19.5, 17.333333333333332)","(13.0, 19.0, 17.625)","(17.0, 25.0, 21.875)","(10.0, 18.5, 17.72222222222222)","(9.0, 16.0, 12.555555555555555)","(2.6, 3.05, 3.006875)","(21.0, 99999, 99990)","(26.0, 50.0, 39.5)","(2.6, 2.9, 2.7117241379310344)"
15-12-2022 11:02:31.799475,"(12.0, 19.5, 17.333333333333332)","(13.0, 19.0, 17.625)","(17.0, 25.0, 21.875)","(10.0, 18.5, 17.72222222222222)","(9.0, 16.0, 12.555555555555555)","(2.6, 3.05, 3.006875)","(21.0, 99999, 99990)","(26.0, 50.0, 39.5)","(2.6, 2.9, 2.7117241379310344)"
15-12-2022 11:02:33.167886,"(12.0, 19.5, 15.9)","(13.0, 19.0, 17.625)","(17.0, 25.0, 21.875)","(10.0, 18.5, 17.72222222222222)","(9.0, 15.5, 13.6)","(2.6, 3.05, 3.006875)","(21.0, 99999, 99990)","(26.0, 50.0, 34.5)","(2.6, 2.88, 2.7)"
