,Caramel Toffee,Aglot,Premium Star,Runaway Kiss,Borgov,Freddy Barbarossa,Simply Beans,Harlow Queen,Redavni,Springs Gift,Minokawa,Bogan Princess,Dominant Rose,Sheez Bean Talkin,Mersey Girl
07-01-2023 16:18:46.763713,"(51.0, 110.0, 102.5)","(41.0, 75.0, 73.57142857142857)","(16.0, 21.0, 20.675675675675677)","(31.0, 46.0, 40.8)","(17.0, 23.0, 21.764705882352942)","(18.0, 27.0, 26.904761904761905)","(3.7, 4.3, 4.2295454545454545)","(17.0, 24.0, 22.18867924528302)","(26.0, 44.0, 40.4)","(41.0, 70.0, 66.25)","(2.15, 2.38, 2.370787401574803)","(26.0, 42.0, 39.3)","(21.0, 44.0, 40.0)","(31.0, 70.0, 66.66666666666667)","(101.0, 280.0, 256.0)"
07-01-2023 16:18:48.937752,"(51.0, 110.0, 102.5)","(41.0, 75.0, 71.66666666666667)","(16.0, 21.0, 20.609756097560975)","(31.0, 46.0, 40.8)","(17.0, 23.0, 21.333333333333332)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.220512820512821)","(17.0, 24.0, 22.208333333333332)","(26.0, 44.0, 40.4)","(41.0, 70.0, 66.25)","(2.15, 2.38, 2.3526315789473684)","(26.0, 42.0, 39.3)","(21.0, 44.0, 40.72727272727273)","(31.0, 70.0, 67.5)","(101.0, 280.0, 250.0)"
07-01-2023 16:18:51.029338,"(51.0, 110.0, 101.0)","(41.0, 75.0, 73.57142857142857)","(16.0, 21.0, 20.644444444444446)","(31.0, 46.0, 40.8)","(17.0, 22.0, 21.428571428571427)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.225301204819277)","(17.0, 24.0, 22.208333333333332)","(26.0, 44.0, 40.4)","(41.0, 70.0, 66.25)","(2.15, 2.38, 2.3507462686567164)","(26.0, 42.0, 39.3)","(21.0, 44.0, 40.72727272727273)","(31.0, 70.0, 67.5)","(101.0, 430.0, 322.0)"
07-01-2023 16:18:53.117195,"(51.0, 110.0, 101.0)","(41.0, 75.0, 73.57142857142857)","(16.0, 21.0, 20.652173913043477)","(31.0, 46.0, 41.666666666666664)","(17.0, 22.0, 21.466666666666665)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.2295454545454545)","(17.0, 24.0, 22.25531914893617)","(26.0, 44.0, 40.4)","(41.0, 70.0, 66.25)","(2.15, 2.38, 2.349350649350649)","(26.0, 42.0, 39.3)","(21.0, 44.0, 40.72727272727273)","(31.0, 70.0, 67.5)","(101.0, 420.0, 366.6666666666667)"
07-01-2023 16:18:55.295639,"(51.0, 110.0, 101.0)","(41.0, 75.0, 59.0)","(16.0, 21.0, 22.071428571428573)","(31.0, 46.0, 48.0)","(18.0, 22.0, 20.75)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.2239263803680975)","(17.0, 24.0, 22.25531914893617)","(26.0, 44.0, 40.4)","(41.0, 70.0, 66.25)","(2.15, 2.38, 2.332563176895307)","(26.0, 42.0, 39.3)","(26.0, 44.0, 40.5)","(31.0, 95.0, 71.66666666666667)","(101.0, 420.0, 366.6666666666667)"
07-01-2023 16:18:57.414162,"(51.0, 110.0, 101.0)","(41.0, 60.0, 62.5)","(16.0, 23.0, 21.857142857142858)","(31.0, 50.0, 50.0)","(18.0, 22.0, 20.25)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.216763005780346)","(17.0, 24.0, 22.25531914893617)","(26.0, 44.0, 40.4)","(41.0, 70.0, 64.54545454545455)","(2.15, 2.34, 2.334262295081967)","(26.0, 42.0, 39.3)","(26.0, 42.0, 40.5)","(31.0, 95.0, 77.5)","(101.0, 420.0, 366.6666666666667)"
07-01-2023 16:18:59.534717,"(51.0, 110.0, 101.0)","(41.0, 65.0, 62.5)","(16.0, 22.0, 21.857142857142858)","(31.0, 60.0, 50.0)","(18.0, 21.0, 20.25)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.216763005780346)","(17.0, 24.0, 22.25531914893617)","(26.0, 44.0, 40.4)","(41.0, 70.0, 64.54545454545455)","(2.15, 2.34, 2.3348717948717947)","(26.0, 42.0, 39.3)","(26.0, 42.0, 40.5)","(31.0, 90.0, 83.75)","(101.0, 420.0, 340.0)"
07-01-2023 16:19:01.661712,"(51.0, 110.0, 101.0)","(41.0, 65.0, 62.5)","(15.0, 22.0, 21.692307692307693)","(31.0, 55.0, 53.714285714285715)","(17.0, 21.0, 19.875)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.216763005780346)","(17.0, 24.0, 22.25531914893617)","(26.0, 44.0, 40.4)","(41.0, 70.0, 65.71428571428571)","(2.15, 2.34, 2.334230769230769)","(26.0, 42.0, 38.57142857142857)","(21.0, 42.0, 39.88235294117647)","(31.0, 90.0, 76.66666666666667)","(101.0, 420.0, 340.0)"
07-01-2023 16:19:03.796697,"(51.0, 110.0, 97.0)","(41.0, 65.0, 62.5)","(15.0, 22.0, 21.6)","(31.0, 55.0, 45.0)","(17.0, 21.0, 20.0)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.220441988950276)","(17.0, 24.0, 22.25531914893617)","(26.0, 44.0, 39.0)","(41.0, 70.0, 65.38461538461539)","(2.15, 2.34, 2.358064516129032)","(26.0, 42.0, 38.57142857142857)","(21.0, 42.0, 40.285714285714285)","(31.0, 90.0, 75.0)","(101.0, 420.0, 282.85714285714283)"
07-01-2023 16:19:05.929689,"(51.0, 100.0, 103.75)","(41.0, 65.0, 63.888888888888886)","(15.0, 22.0, 21.805555555555557)","(31.0, 50.0, 43.333333333333336)","(17.0, 21.0, 20.5)","(18.0, 27.0, 26.875)","(3.7, 4.3, 4.2303030303030305)","(17.0, 24.0, 22.25531914893617)","(26.0, 42.0, 38.36363636363636)","(41.0, 65.0, 62.69230769230769)","(2.15, 2.36, 2.3506779661016948)","(26.0, 42.0, 38.57142857142857)","(21.0, 42.0, 39.88235294117647)","(31.0, 95.0, 80.41666666666667)","(101.0, 390.0, 346.6666666666667)"
