,Rockin Charmer,Miss Daphne,Iamnopet,Rakareplay Nz,Rockinthecity,Officially Shady,Miyagi Boy
14-12-2022 13:33:59.604860,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.85)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.87)"
14-12-2022 13:34:01.042416,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.2, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:02.412326,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:03.780587,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:05.090895,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:06.519420,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:07.847947,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:09.240428,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:10.565938,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
14-12-2022 13:34:11.803186,"(31.0, 48.0, 44.8)","(31.0, 48.0, 42.0)","(7.5, 12.0, 9.600000000000001)","(6.0, 99999, 99990)","(4.0, 6.0, 5.642857142857143)","(17.0, 25.0, 20.75)","(1.6, 1.99, 1.945)"
