,Lonely Gemma,Ryders Ambition,Lets Go Yoyo,Chanelle,Clarks A Lark,Homebush Sparkle,Rowdys Monster,Goldstar Vargas
16-12-2022 10:45:40.990424,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 38.0, 25.811764705882354)"
16-12-2022 10:45:42.093412,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 38.0, 25.811764705882354)"
16-12-2022 10:45:43.272454,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 38.0, 33.49090909090909)"
16-12-2022 10:45:44.475212,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:45.608605,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:46.648991,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:47.649972,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:48.653085,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:49.710596,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:50.849950,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:51.975086,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:53.114226,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:54.227078,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:55.279548,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
16-12-2022 10:45:56.290583,"(7.0, 13.5, 12.6375)","(16.0, 140.0, 77.25)","(21.0, 220.0, 120.0)","(10.0, 20.0, 18.9)","(5.0, 8.8, 8.116666666666667)","(6.5, 13.5, 12.644444444444446)","(1.95, 3.2, 2.905263157894737)","(9.0, 36.0, 33.49090909090909)"
