,Saganaki Kid,Trenzalore,Dewana Burger,Trending Zari,Dirt Farmer,Darnum Diva,Osprey Athena
04-01-2023 13:28:39.816472,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:40.998616,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:42.179664,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:43.399416,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:44.508043,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:45.658602,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:47.344042,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:48.527927,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:49.652996,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:51.089888,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
04-01-2023 13:28:52.326991,"(17.0, 55.0, 27.0)","(51.0, 410.0, 180.0)","(4.2, 7.6, 5.569230769230769)","(3.8, 7.0, 5.153448275862069)","(7.0, 13.5, 13.105555555555556)","(19.0, 60.0, 38.75)","(1.85, 2.8, 1.9678260869565216)"
