,Duly Noted,Jumbo Ozaki,Dustin Diesel,Boys Night Out,Flying Zinger,Lauries Gem,Eve And Jan,Lees Bonus
10-01-2023 19:20:57.958986,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 7.681889763779527)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:20:59.135309,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 7.681889763779527)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:00.345955,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 7.681889763779527)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 539.0)","(61.0, 440.0, 291.9230769230769)"
10-01-2023 19:21:01.469960,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 7.681889763779527)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 33.4375)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:02.536411,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:03.766000,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:04.764663,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:05.801091,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:06.887990,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
10-01-2023 19:21:07.885670,"(4.2, 9.8, 4.815384615384616)","(4.8, 7.8, 6.591666666666667)","(3.9, 8.0, 6.044827586206897)","(15.0, 36.0, 32.0)","(3.2, 4.5, 3.5)","(5.0, 11.5, 5.409090909090909)","(91.0, 650.0, 465.0)","(61.0, 440.0, 163.63636363636363)"
