,Exceed And Collect,No Outcast,Outwitted,The Instructor,Ukiyoe,Firehouse,Imminance,Miss Sunshine,Nevada Showgirl,Within Sight
12-01-2023 16:35:29.523448,"(8.5, 12.5, 11.931034482758621)","(15.0, 25.0, 24.4)","(14.0, 25.0, 24.875)","(2.3, 2.66, 2.640909090909091)","(12.0, 12.5, 12.08695652173913)","(5.5, 6.6, 6.3984)","(41.0, 75.0, 74.41176470588235)","(5.5, 6.4, 6.352)","(41.0, 95.0, 84.28571428571429)","(17.0, 34.0, 31.714285714285715)"
12-01-2023 16:35:31.089714,"(8.5, 12.5, 11.931034482758621)","(16.0, 25.0, 24.4)","(15.0, 25.0, 24.875)","(2.3, 2.66, 2.640909090909091)","(11.0, 12.5, 12.08695652173913)","(5.5, 6.6, 6.3984)","(41.0, 75.0, 74.41176470588235)","(5.5, 6.4, 6.352)","(41.0, 95.0, 84.28571428571429)","(18.0, 34.0, 31.714285714285715)"
12-01-2023 16:35:32.525713,"(8.5, 12.5, 11.931034482758621)","(16.0, 25.0, 24.4)","(15.0, 25.0, 24.875)","(2.3, 2.66, 2.640909090909091)","(11.0, 12.5, 12.08695652173913)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.5, 6.4, 6.352)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 31.714285714285715)"
12-01-2023 16:35:33.977618,"(8.5, 12.5, 11.931034482758621)","(16.0, 25.0, 23.5)","(15.0, 25.0, 23.59259259259259)","(2.3, 2.66, 2.661578947368421)","(11.0, 12.5, 11.703389830508474)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:35.290381,"(8.5, 12.5, 12.216981132075471)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.8)","(2.3, 2.68, 2.668085106382979)","(11.0, 12.0, 11.703389830508474)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:36.589766,"(8.5, 12.5, 12.255555555555556)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.8)","(2.3, 2.68, 2.668085106382979)","(11.0, 12.0, 11.525641025641026)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:38.012188,"(8.5, 12.5, 12.255555555555556)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.8)","(2.3, 2.68, 2.6688372093023256)","(11.0, 12.0, 11.465277777777779)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:39.548490,"(8.5, 12.5, 12.255555555555556)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.56)","(2.3, 2.68, 2.6688372093023256)","(11.0, 11.5, 11.465277777777779)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:40.957048,"(8.5, 12.5, 12.255555555555556)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.90909090909091)","(2.3, 2.68, 2.6688372093023256)","(11.0, 11.5, 11.465277777777779)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:42.271200,"(8.5, 12.5, 12.255555555555556)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.90909090909091)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.465277777777779)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:43.533424,"(8.5, 12.5, 12.255555555555556)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.90909090909091)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.444444444444445)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:44.746405,"(8.5, 12.5, 12.28)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.90909090909091)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.4)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 89.54545454545455)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:46.079645,"(8.5, 12.5, 12.28)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.90909090909091)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.4)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 90.9090909090909)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:47.339603,"(8.5, 12.5, 12.28)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.75862068965517)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.4)","(5.5, 6.6, 6.366442953020134)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 90.9090909090909)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:48.800039,"(8.5, 12.5, 12.28)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.75862068965517)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.4)","(5.5, 6.6, 6.381132075471698)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 90.9090909090909)","(18.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:50.039399,"(9.0, 12.5, 12.28)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.90909090909091)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.4)","(5.5, 6.6, 6.381132075471698)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 86.42857142857143)","(19.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:51.308524,"(9.0, 12.5, 12.28)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.75862068965517)","(2.3, 2.68, 2.6723076923076925)","(11.0, 11.5, 11.4)","(5.5, 6.6, 6.374025974025974)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.325)","(41.0, 95.0, 86.42857142857143)","(19.0, 34.0, 33.333333333333336)"
12-01-2023 16:35:52.511844,"(9.0, 12.5, 12.28)","(16.0, 24.0, 23.5)","(15.0, 25.0, 23.814814814814813)","(2.3, 2.68, 2.6088235294117648)","(11.0, 11.5, 11.444444444444445)","(5.5, 6.6, 6.43177570093458)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.213953488372093)","(41.0, 95.0, 86.42857142857143)","(19.0, 34.0, 33.4)"
12-01-2023 16:35:53.858794,"(9.0, 12.5, 12.362745098039216)","(16.0, 24.0, 24.25)","(15.0, 25.0, 23.814814814814813)","(2.3, 2.62, 2.615419847328244)","(11.0, 11.5, 11.534782608695652)","(5.5, 6.6, 6.456896551724138)","(41.0, 75.0, 74.5)","(5.0, 6.4, 6.165454545454546)","(41.0, 95.0, 86.42857142857143)","(19.0, 34.0, 34.75)"
12-01-2023 16:35:55.149034,"(9.0, 12.5, 12.362745098039216)","(16.0, 25.0, 24.25)","(15.0, 25.0, 23.814814814814813)","(2.3, 2.62, 2.6138356164383563)","(11.0, 12.0, 11.534782608695652)","(5.5, 6.6, 6.456896551724138)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.165454545454546)","(41.0, 95.0, 86.42857142857143)","(19.0, 36.0, 34.75)"
12-01-2023 16:35:56.386184,"(9.0, 12.5, 12.362745098039216)","(16.0, 25.0, 24.25)","(15.0, 25.0, 23.814814814814813)","(2.3, 2.62, 2.5786046511627907)","(11.0, 12.0, 11.565040650406504)","(5.5, 6.6, 6.456896551724138)","(41.0, 75.0, 74.5)","(5.0, 6.2, 6.212865497076024)","(41.0, 95.0, 86.42857142857143)","(19.0, 36.0, 34.75)"
