,Osprey Phantom,Gondola,Molly Irish,Flora Colossus,Impress Us,Catch Me Nero
06-01-2023 13:25:51.649383,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.0)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:52.619572,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:53.535312,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:54.477353,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:55.516249,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:56.535659,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:57.603370,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:58.513740,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:25:59.558867,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:00.655456,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:01.750392,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:02.676761,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:03.588836,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:04.611787,"(2.9, 4.3, 3.0272727272727273)","(2.05, 3.1, 2.54875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:05.630701,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:06.531565,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:07.461236,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:08.468737,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:09.453446,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:10.461584,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:11.520035,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:12.447148,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
06-01-2023 13:26:13.518135,"(2.9, 4.2, 3.0083333333333333)","(2.05, 3.05, 2.991875)","(8.5, 22.0, 12.416666666666666)","(31.0, 100.0, 52.5)","(5.0, 9.4, 8.0)","(9.0, 22.0, 11.5)"
