,Dallas Gold,Herzen,Poseidon Wrath,Whitaker,Hardcore Folklore,Uncle Frank,Dried Pepper,Stans Miracle Man,Unified Assets
16-12-2022 10:16:26.605137,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:27.984659,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:29.195386,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:30.348571,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:31.465269,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:32.616615,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:33.910810,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:35.068763,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:36.198971,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:37.368198,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:38.613665,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
16-12-2022 10:16:39.797320,"(21.0, 510.0, 344.5)","(15.0, 34.0, 22.25)","(31.0, 400.0, 355.2941176470588)","(17.0, 160.0, 111.16666666666667)","(13.0, 18.5, 12.94)","(2.7, 3.65, 3.4499999999999997)","(2.1, 2.6, 2.5959036144578316)","(6.5, 12.5, 10.7)","(26.0, 630.0, 324.5)"
