,Hes Gold,Sir Mambo,Silkinize,On The Full,Pink N Gray,The Lady Is A Vamp,Titian Queen
07-01-2023 14:53:54.023282,"(5.0, 5.6, 5.176923076923076)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 33.333333333333336)","(3.8, 4.4, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:53:55.066399,"(5.0, 5.6, 5.176923076923076)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 33.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:53:56.261305,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 33.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:53:57.376392,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 33.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:53:58.509965,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 33.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:53:59.823318,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 33.333333333333336)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:54:01.043437,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 31.75)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:54:02.366465,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 31.75)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 29.066666666666666)"
07-01-2023 14:54:03.553031,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 18.8)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.8730434782608696)","(20.0, 46.0, 31.75)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 27.2)"
07-01-2023 14:54:04.617153,"(5.0, 5.6, 5.141666666666667)","(12.0, 20.0, 19.25)","(6.0, 9.8, 9.622222222222224)","(2.45, 2.92, 2.869041095890411)","(20.0, 46.0, 35.2)","(3.8, 4.3, 4.195652173913043)","(19.0, 30.0, 26.5)"
