,Zipping Newman,Contralto,Beware Bob,Lady Wendy Hook,Hard On Me,Berdeen
12-01-2023 17:13:44.337347,"(2.6, 3.95, 2.775714285714286)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:45.188870,"(2.6, 3.95, 2.775714285714286)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:46.110614,"(2.6, 3.95, 2.775714285714286)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:47.035193,"(2.6, 3.95, 2.775714285714286)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:47.910179,"(2.6, 3.95, 2.775714285714286)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:48.772281,"(2.6, 3.95, 2.775714285714286)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:49.647464,"(2.6, 3.95, 2.775714285714286)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:50.660839,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:51.652547,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
12-01-2023 17:13:52.721925,"(2.6, 4.0, 2.6983333333333333)","(11.0, 27.0, 22.22222222222222)","(4.0, 7.4, 5.246153846153846)","(8.0, 14.0, 13.32)","(3.5, 5.1, 3.6777777777777776)","(7.5, 17.0, 8.771428571428572)"
