,Rupurt Keen,Sketchy Deliver,Kid Freeze,Spot Of Rum,Wonder Woolly,Seabrook Baker,Charming Spirit,Izuku Bale
05-01-2023 15:57:09.840167,"(1.7, 2.58, 1.8625)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:10.987767,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:12.122081,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:13.286177,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:14.381756,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:15.401621,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:16.518006,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:17.660982,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:18.763698,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
05-01-2023 15:57:19.840909,"(1.7, 2.58, 2.0645454545454545)","(3.4, 5.1, 3.7285714285714286)","(6.5, 12.5, 7.37)","(41.0, 230.0, 206.5)","(8.5, 17.5, 14.9)","(101.0, 650.0, 372.5)","(10.0, 22.0, 20.0)","(41.0, 220.0, 129.0)"
