,Mon Bel Ange,Rocknroll Da Gama,Quick Step Nz,Purple Shades,Ashlee Nitro,Illbewatching,My Ultimate Clippa,Press Statement,Bettor Getta Lover
12-01-2023 16:47:23.696772,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:25.061006,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:26.389155,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:27.876381,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:29.336576,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:30.674822,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:32.077468,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:33.393647,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:34.806627,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:36.298509,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:37.606513,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:38.911920,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:40.340735,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:41.790156,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:43.194334,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:44.548398,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:45.854218,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.8)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:47.395016,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.16)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.066666666666666)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
12-01-2023 16:47:48.785518,"(15.0, 36.0, 24.0)","(4.4, 6.8, 6.704918032786885)","(2.15, 99999, 99990)","(19.0, 38.0, 27.0)","(3.6, 5.3, 4.066666666666666)","(31.0, 65.0, 52.6)","(8.0, 15.5, 13.14)","(19.0, 36.0, 23.666666666666668)","(71.0, 190.0, 166.0)"
