,Drink Ciders,Avas Boy,Bonnie Rico,Shian Pixie,Royal Look,Spring Rowan,Outback Gold,Spring Betty
06-01-2023 16:56:33.584486,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:34.648837,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:35.693275,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:36.740460,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:37.820499,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.080000000000002)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:38.958024,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 9.8, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:40.234288,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:41.434474,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:42.553207,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
06-01-2023 16:56:43.631907,"(6.5, 14.5, 13.9)","(8.0, 17.0, 15.826666666666666)","(5.5, 9.2, 8.438095238095237)","(3.7, 5.3, 3.7)","(6.0, 10.0, 9.24)","(4.4, 7.6, 6.253846153846153)","(12.0, 34.0, 23.25)","(9.0, 23.0, 22.233333333333334)"
