,Queen Of Strathfield Nz,Aldebaran Tess Nz,Aldebaran Revani Usa,Rave On Hall,On Advice,Sunny Gee,Caligula Nz,Drop The Hammer,Royal Glenferrie
07-01-2023 19:03:20.262194,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 50.0, 34.6875)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 87.71428571428571)"
07-01-2023 19:03:21.708980,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 50.0, 34.6875)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 87.71428571428571)"
07-01-2023 19:03:23.127924,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 50.0, 34.6875)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:24.490511,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 50.0, 34.6875)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:25.708990,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:26.950224,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:28.187885,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:29.410809,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:30.613471,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:31.847225,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:33.086275,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:34.411914,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:35.602844,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:36.886858,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:38.289180,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:39.610365,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:40.944603,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:42.270005,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
07-01-2023 19:03:43.633269,"(31.0, 99999, 99990)","(4.0, 99999, 99990)","(6.5, 99999, 99990)","(9.0, 17.5, 14.18)","(10.0, 17.5, 14.26)","(21.0, 55.0, 32.14285714285714)","(2.25, 99999, 99990)","(9.0, 16.0, 11.8)","(41.0, 170.0, 102.0)"
