,Regal Aura,Armarockstar,You Fly With Me Nz,Lorinda Kate,Beyond The Sea,Libba Racy,Terror In Texas,Caribbean Lily Nz
11-01-2023 19:01:37.712667,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.2, 6.283333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:01:38.933934,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.283333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:01:40.134787,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.283333333333333)","(4.4, 99999, 99990)"
11-01-2023 19:01:41.259313,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.140000000000001)","(4.4, 99999, 99990)"
11-01-2023 19:01:42.549549,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:01:43.715273,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:01:44.839227,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:01:46.056295,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:01:47.188549,"(7.0, 9.4, 8.52)","(4.6, 8.0, 6.928571428571429)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4066666666666667)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:01:48.324900,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.0)","(4.4, 99999, 99990)"
11-01-2023 19:01:49.311790,"(7.0, 9.4, 8.52)","(4.6, 8.0, 7.2)","(13.0, 99999, 99990)","(101.0, 190.0, 135.0)","(2.6, 3.7, 3.4850000000000003)","(51.0, 170.0, 120.0)","(4.2, 6.4, 6.254545454545455)","(4.4, 99999, 99990)"
