,Kween Kanali,Improper,Graphite Mist,Shalook,Communication,Huayu Rainbow,Shezabarbie,Wicked Missile
10-01-2023 14:57:10.180737,"(7.5, 10.5, 9.853846153846154)","(5.0, 8.0, 7.448484848484848)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 6.0, 5.25)","(26.0, 60.0, 48.75)","(101.0, 230.0, 226.0)","(91.0, 230.0, 193.75)"
10-01-2023 14:57:11.596314,"(7.5, 10.5, 9.853846153846154)","(5.0, 8.0, 7.448484848484848)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.215789473684211)","(26.0, 55.0, 48.75)","(101.0, 230.0, 226.0)","(91.0, 230.0, 193.75)"
10-01-2023 14:57:12.823087,"(7.5, 10.5, 9.853846153846154)","(5.0, 8.0, 7.448484848484848)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.215789473684211)","(26.0, 55.0, 37.5)","(101.0, 230.0, 226.0)","(91.0, 230.0, 166.0)"
10-01-2023 14:57:13.968872,"(7.5, 10.5, 9.853846153846154)","(5.0, 8.0, 7.448484848484848)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.215789473684211)","(26.0, 50.0, 37.5)","(101.0, 230.0, 226.0)","(91.0, 220.0, 166.0)"
10-01-2023 14:57:15.161376,"(7.5, 10.5, 9.853846153846154)","(5.0, 8.0, 7.448484848484848)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.215789473684211)","(26.0, 50.0, 37.5)","(101.0, 230.0, 226.0)","(91.0, 220.0, 166.0)"
10-01-2023 14:57:16.347914,"(7.5, 10.5, 9.853846153846154)","(5.0, 8.0, 7.448484848484848)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.566666666666667)","(26.0, 50.0, 35.0)","(101.0, 230.0, 226.0)","(91.0, 220.0, 166.0)"
10-01-2023 14:57:17.595676,"(7.5, 10.5, 9.853846153846154)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 220.0, 166.0)"
10-01-2023 14:57:18.689036,"(7.5, 10.5, 10.207692307692309)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 220.0, 181.42857142857142)"
10-01-2023 14:57:19.702691,"(7.5, 10.5, 10.207692307692309)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 220.0, 181.42857142857142)"
10-01-2023 14:57:20.845684,"(7.5, 10.5, 10.207692307692309)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 220.0, 181.42857142857142)"
10-01-2023 14:57:22.002396,"(7.5, 10.5, 10.207692307692309)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 220.0, 181.42857142857142)"
10-01-2023 14:57:23.158824,"(7.5, 10.5, 10.207692307692309)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 220.0, 181.42857142857142)"
10-01-2023 14:57:24.327780,"(7.5, 10.5, 10.207692307692309)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 220.0, 205.83333333333334)"
10-01-2023 14:57:25.465465,"(7.5, 10.5, 10.237931034482758)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.566666666666667)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
10-01-2023 14:57:26.582668,"(7.5, 10.5, 10.237931034482758)","(5.0, 8.0, 7.637037037037037)","(2.6, 3.4, 3.3333333333333335)","(3.6, 4.2, 4.0)","(4.6, 5.9, 5.4)","(26.0, 50.0, 40.526315789473685)","(101.0, 230.0, 226.0)","(91.0, 230.0, 205.83333333333334)"
