,Hardtimes,Thomas Aquinas,Legit,Whatsup,Almeraki,Irrigate,Razors Edge,Trustworthy,Ginger Snapz,Pinsk,Oceanides,Lord Spencer,Swing Low
12-01-2023 14:36:38.697689,"(9.0, 12.0, 11.664)","(7.5, 10.0, 9.882352941176471)","(14.0, 18.5, 17.607142857142858)","(12.0, 15.0, 14.6875)","(11.0, 17.0, 16.5)","(11.0, 15.5, 15.0)","(8.5, 9.2, 9.05)","(8.5, 9.2, 9.18095238095238)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.23076923076923)","(6.5, 7.4, 7.270588235294118)","(8.5, 11.0, 10.855072463768115)","(26.0, 36.0, 35.30232558139535)"
12-01-2023 14:36:40.320962,"(9.0, 12.0, 11.664)","(7.5, 10.0, 9.882352941176471)","(14.0, 18.5, 17.79245283018868)","(12.0, 15.0, 14.65)","(11.0, 17.0, 16.5)","(11.0, 15.5, 15.055555555555555)","(8.5, 9.8, 9.28)","(8.5, 9.2, 9.182608695652172)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.23076923076923)","(6.5, 7.4, 7.381818181818182)","(8.5, 11.0, 10.87012987012987)","(26.0, 36.0, 35.30232558139535)"
12-01-2023 14:36:41.937090,"(9.0, 12.0, 11.676923076923076)","(7.5, 10.0, 9.882352941176471)","(14.0, 18.5, 17.79245283018868)","(12.0, 15.0, 14.65)","(11.0, 17.0, 16.5)","(11.0, 15.5, 14.928571428571429)","(8.5, 9.6, 9.28)","(8.5, 9.2, 9.182608695652172)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.23076923076923)","(6.5, 7.4, 7.271428571428571)","(8.5, 11.0, 10.87012987012987)","(26.0, 36.0, 35.30232558139535)"
12-01-2023 14:36:43.564519,"(9.0, 12.0, 11.676923076923076)","(7.5, 10.0, 9.777777777777777)","(14.0, 18.5, 17.79245283018868)","(12.0, 15.0, 14.65)","(11.0, 17.0, 16.5)","(11.0, 15.5, 14.928571428571429)","(8.5, 9.6, 9.28)","(8.5, 9.2, 9.182608695652172)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.23076923076923)","(6.5, 7.6, 7.271428571428571)","(8.5, 11.0, 10.87012987012987)","(26.0, 36.0, 35.30232558139535)"
12-01-2023 14:36:45.169062,"(9.0, 12.0, 11.676923076923076)","(7.5, 10.0, 9.777777777777777)","(14.0, 18.5, 17.79245283018868)","(12.0, 15.0, 14.65)","(11.0, 17.0, 16.5)","(11.0, 15.5, 14.928571428571429)","(8.5, 9.6, 9.28)","(8.5, 9.2, 9.182608695652172)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.23076923076923)","(6.5, 7.6, 7.271428571428571)","(8.5, 11.0, 10.87012987012987)","(26.0, 36.0, 35.30232558139535)"
12-01-2023 14:36:46.714058,"(9.0, 12.0, 11.676923076923076)","(7.5, 10.0, 9.777777777777777)","(14.0, 18.5, 17.79245283018868)","(12.0, 15.0, 14.64102564102564)","(11.0, 17.0, 16.5)","(11.0, 15.5, 14.928571428571429)","(8.5, 9.6, 9.28)","(8.5, 9.2, 9.182608695652172)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.23076923076923)","(6.5, 7.6, 7.271428571428571)","(8.5, 11.0, 10.87012987012987)","(26.0, 36.0, 35.31818181818182)"
12-01-2023 14:36:48.210609,"(9.0, 12.0, 11.676923076923076)","(7.5, 10.0, 9.882352941176471)","(14.0, 18.5, 17.79245283018868)","(12.0, 15.0, 14.64102564102564)","(11.0, 17.0, 16.5)","(11.0, 15.5, 14.928571428571429)","(8.5, 9.6, 9.28)","(8.5, 9.2, 9.182608695652172)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.23076923076923)","(6.5, 7.6, 7.271428571428571)","(8.5, 11.0, 10.87012987012987)","(26.0, 36.0, 35.31818181818182)"
12-01-2023 14:36:49.828295,"(9.0, 12.0, 11.676923076923076)","(7.5, 10.0, 9.882352941176471)","(14.0, 18.5, 17.818181818181817)","(12.0, 15.0, 14.64102564102564)","(11.0, 17.0, 16.5)","(11.0, 15.5, 14.928571428571429)","(8.5, 9.6, 9.16)","(8.5, 9.2, 9.182608695652172)","(17.0, 21.0, 20.045454545454547)","(21.0, 36.0, 35.705882352941174)","(6.5, 7.6, 7.288135593220339)","(8.5, 11.0, 10.87012987012987)","(26.0, 36.0, 35.31818181818182)"
12-01-2023 14:36:51.473677,"(9.0, 12.0, 11.676923076923076)","(7.5, 10.0, 14.905263157894737)","(14.0, 18.5, 20.5)","(12.0, 15.0, 21.576923076923077)","(11.0, 17.0, 21.285714285714285)","(11.0, 15.5, 24.2)","(8.5, 9.4, 11.618181818181817)","(8.5, 9.2, 9.333333333333334)","(17.0, 21.0, 22.333333333333336)","(21.0, 36.0, 35.333333333333336)","(6.5, 7.6, 12.296296296296296)","(8.5, 11.0, 15.41818181818182)","(26.0, 36.0, 73.8157894736842)"
12-01-2023 14:36:53.051994,"(9.0, 22.0, 18.18181818181818)","(7.5, 18.0, 14.544444444444444)","(14.0, 38.0, 20.5)","(12.0, 26.0, 21.576923076923077)","(11.0, 27.0, 21.464285714285715)","(11.0, 29.0, 24.2)","(8.5, 19.0, 11.618181818181817)","(8.5, 20.0, 9.333333333333334)","(17.0, 40.0, 32.42857142857143)","(21.0, 60.0, 35.333333333333336)","(6.5, 16.0, 12.296296296296296)","(8.5, 20.0, 15.563636363636363)","(26.0, 75.0, 73.8157894736842)"
