,Pool Dancer,Mrs Fencer,Maggie Bow,Smoking Yogi,Your Law,Buckle Up Wilder,Van Brae,Juno Another Way
12-01-2023 18:30:06.066009,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 59.375)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 94.16666666666667)","(9.0, 19.0, 10.6)"
12-01-2023 18:30:07.210899,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 59.375)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 94.16666666666667)","(9.0, 19.0, 10.6)"
12-01-2023 18:30:08.394490,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 59.375)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 94.16666666666667)","(9.0, 19.0, 10.6)"
12-01-2023 18:30:09.557762,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 59.375)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 94.16666666666667)","(9.0, 19.0, 10.6)"
12-01-2023 18:30:10.686227,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 59.375)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 94.16666666666667)","(9.0, 19.0, 10.6)"
12-01-2023 18:30:11.811836,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 59.375)","(5.5, 12.5, 11.816666666666666)","(31.0, 130.0, 94.16666666666667)","(9.0, 19.0, 11.16)"
12-01-2023 18:30:12.885542,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 59.375)","(5.5, 12.5, 12.233333333333334)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 11.16)"
12-01-2023 18:30:14.111113,"(1.5, 2.0, 1.6406666666666667)","(51.0, 510.0, 279.0)","(21.0, 85.0, 46.25)","(4.8, 7.2, 6.475)","(21.0, 120.0, 49.45454545454545)","(5.5, 13.0, 11.685714285714287)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 11.5)"
12-01-2023 18:30:15.435186,"(1.5, 1.94, 1.5519512195121952)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 6.475)","(21.0, 120.0, 49.45454545454545)","(5.5, 13.0, 11.685714285714287)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.0, 13.2)"
12-01-2023 18:30:16.627928,"(1.5, 2.0, 1.7221052631578948)","(51.0, 500.0, 299.1111111111111)","(21.0, 85.0, 39.90909090909091)","(4.8, 7.2, 6.475)","(21.0, 120.0, 49.45454545454545)","(5.5, 13.0, 11.685714285714287)","(31.0, 130.0, 84.13333333333333)","(9.0, 19.5, 13.990909090909092)"
