,Ethical Dilemma,Our Little Ted,Rebel Factor,Coronation Keith,Jaja Chaboogie,Gee Gee Queen Bee,Majestic Diamond
07-12-2022 18:40:35.167312,"(11.0, 22.0, 18.785714285714285)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.046153846153846)"
07-12-2022 18:40:36.293622,"(11.0, 22.0, 18.785714285714285)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:37.439608,"(11.0, 22.0, 18.785714285714285)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:38.494751,"(11.0, 22.0, 18.785714285714285)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:39.499505,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:40.483355,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:41.519327,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:42.610155,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:43.710374,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:44.804002,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:45.851203,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:46.911055,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:47.957332,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:49.150277,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:50.183918,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.052173913043478)"
07-12-2022 18:40:51.210175,"(11.0, 22.0, 20.75)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.795)","(6.0, 11.0, 10.2125)","(13.0, 25.0, 24.4)","(17.0, 36.0, 30.75)","(4.2, 5.3, 5.11)"
07-12-2022 18:40:52.196551,"(11.0, 22.0, 19.3)","(18.0, 34.0, 32.44444444444444)","(1.75, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.37)","(13.0, 25.0, 24.0)","(17.0, 36.0, 31.5)","(4.2, 5.3, 5.11)"
07-12-2022 18:40:53.193628,"(11.0, 22.0, 19.3)","(18.0, 34.0, 32.44444444444444)","(1.75, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.626666666666667)","(13.0, 25.0, 24.0)","(17.0, 36.0, 31.5)","(4.2, 5.3, 5.11)"
07-12-2022 18:40:54.247818,"(11.0, 22.0, 20.772727272727273)","(18.0, 34.0, 32.44444444444444)","(1.75, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.626666666666667)","(13.0, 25.0, 24.0)","(17.0, 36.0, 31.5)","(4.2, 5.3, 5.11)"
07-12-2022 18:40:55.448050,"(11.0, 22.0, 20.772727272727273)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.626666666666667)","(13.0, 25.0, 24.0)","(17.0, 36.0, 31.5)","(4.2, 5.3, 5.11)"
07-12-2022 18:40:56.580341,"(11.0, 22.0, 20.772727272727273)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.626666666666667)","(13.0, 25.0, 24.0)","(17.0, 36.0, 31.5)","(4.2, 5.3, 5.1)"
07-12-2022 18:40:57.616994,"(11.0, 22.0, 20.772727272727273)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.4)","(13.0, 25.0, 24.0)","(17.0, 36.0, 31.5)","(4.2, 5.3, 5.1)"
07-12-2022 18:40:58.637223,"(11.0, 22.0, 20.772727272727273)","(18.0, 34.0, 32.0)","(1.75, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.8)","(13.0, 25.0, 24.0)","(17.0, 36.0, 31.5)","(4.2, 5.3, 5.1)"
07-12-2022 18:40:59.632534,"(11.0, 22.0, 20.772727272727273)","(18.0, 34.0, 32.0)","(1.7, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.8)","(13.0, 25.0, 24.0)","(17.0, 36.0, 32.0)","(4.2, 5.3, 5.1)"
07-12-2022 18:41:00.684275,"(11.0, 22.0, 20.772727272727273)","(18.0, 34.0, 32.0)","(1.7, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.8)","(13.0, 25.0, 24.0)","(17.0, 36.0, 32.0)","(4.2, 5.3, 5.1)"
07-12-2022 18:41:01.767539,"(11.0, 22.0, 18.625)","(18.0, 34.0, 32.0)","(1.7, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.8)","(13.0, 25.0, 24.0)","(17.0, 36.0, 32.0)","(4.2, 5.3, 5.1)"
07-12-2022 18:41:02.762734,"(11.0, 22.0, 18.625)","(18.0, 34.0, 31.0)","(1.7, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.9)","(13.0, 25.0, 24.0)","(17.0, 36.0, 32.0)","(4.2, 5.4, 5.293333333333334)"
07-12-2022 18:41:03.774278,"(11.0, 22.0, 18.625)","(18.0, 34.0, 33.14285714285714)","(1.7, 1.8, 1.7866666666666666)","(6.0, 11.0, 10.866666666666667)","(13.0, 25.0, 24.0)","(17.0, 36.0, 32.0)","(4.2, 5.6, 5.359999999999999)"
07-12-2022 18:41:04.852688,"(11.0, 22.0, 18.625)","(18.0, 34.0, 33.4)","(1.7, 1.8, 1.799727626459144)","(6.0, 11.0, 10.875)","(13.0, 25.0, 24.0)","(17.0, 36.0, 32.0)","(4.2, 5.5, 5.413043478260869)"
07-12-2022 18:41:05.944982,"(11.0, 22.0, 18.625)","(18.0, 34.0, 33.4)","(1.7, 1.8, 1.799727626459144)","(6.0, 11.0, 10.90909090909091)","(13.0, 25.0, 24.0)","(17.0, 36.0, 32.0)","(4.2, 5.5, 5.365384615384615)"
07-12-2022 18:41:07.080537,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.285714285714285)","(1.7, 1.8, 1.799727626459144)","(6.0, 11.0, 10.90909090909091)","(13.0, 24.0, 22.8)","(17.0, 36.0, 32.0)","(4.2, 5.4, 5.2303030303030305)"
07-12-2022 18:41:08.184717,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.8, 1.799727626459144)","(6.0, 11.0, 10.90909090909091)","(13.0, 24.0, 22.8)","(17.0, 32.0, 29.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:09.252542,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.81, 1.8097628458498025)","(6.0, 11.0, 10.90909090909091)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:10.372473,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.8194117647058825)","(6.0, 11.0, 10.833333333333334)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:11.513590,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.833333333333334)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:12.685429,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.833333333333334)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:13.919763,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.833333333333334)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:15.146948,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.833333333333334)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:16.200304,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.833333333333334)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:17.321369,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.8)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:18.387367,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.8)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:19.467473,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.0, 10.88)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:20.573415,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 12.0, 11.0375)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.272727272727273)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:21.540075,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 11.190909090909091)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:22.617839,"(11.0, 22.0, 20.833333333333332)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.892857142857142)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:23.689153,"(11.0, 22.0, 21.5)","(18.0, 34.0, 33.54545454545455)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.892857142857142)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:24.785174,"(11.0, 22.0, 21.588235294117645)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.892857142857142)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:25.795962,"(11.0, 22.0, 21.588235294117645)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.892857142857142)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
07-12-2022 18:41:26.829608,"(11.0, 22.0, 21.588235294117645)","(18.0, 34.0, 30.785714285714285)","(1.7, 1.82, 1.81921568627451)","(6.0, 11.5, 10.892857142857142)","(13.0, 24.0, 22.8)","(17.0, 30.0, 24.75)","(4.2, 5.4, 5.206896551724138)"
