,My Defence,Bidgee Babe,Rickingrace,Infinite Hope,Shirley Hall,Shez A Warrior,Movintohellandback,Aliski
09-01-2023 12:04:55.971585,"(2.9, 4.1, 3.466666666666667)","(5.5, 9.2, 7.742857142857143)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.2, 6.075)","(13.0, 24.0, 18.142857142857142)","(31.0, 220.0, 149.73333333333332)","(2.8, 5.1, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:04:57.011953,"(2.9, 3.85, 3.466666666666667)","(5.5, 9.0, 7.742857142857143)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 18.142857142857142)","(31.0, 220.0, 149.73333333333332)","(2.8, 5.0, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:04:58.100071,"(2.9, 3.75, 3.4)","(5.5, 9.0, 7.742857142857143)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 18.142857142857142)","(31.0, 220.0, 149.73333333333332)","(2.8, 5.0, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:04:59.150065,"(2.9, 3.75, 3.4)","(5.5, 9.0, 7.742857142857143)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 18.142857142857142)","(31.0, 220.0, 149.73333333333332)","(2.8, 5.0, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:00.158994,"(2.9, 3.75, 3.4)","(5.5, 9.0, 7.742857142857143)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 18.142857142857142)","(31.0, 220.0, 149.73333333333332)","(2.8, 5.0, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:01.200047,"(2.9, 3.65, 3.3333333333333335)","(5.5, 9.0, 7.742857142857143)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 18.142857142857142)","(31.0, 220.0, 149.73333333333332)","(2.8, 5.0, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:02.264812,"(2.9, 3.65, 3.3333333333333335)","(5.5, 9.0, 7.28)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 18.142857142857142)","(31.0, 220.0, 149.73333333333332)","(2.8, 5.0, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:03.319218,"(2.9, 3.65, 3.3333333333333335)","(5.5, 9.0, 7.28)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 14.600000000000001)","(31.0, 220.0, 79.60000000000001)","(2.8, 5.0, 4.390000000000001)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:04.398218,"(2.9, 3.55, 3.2666666666666666)","(5.5, 9.0, 7.28)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 14.600000000000001)","(31.0, 220.0, 79.60000000000001)","(2.8, 5.0, 3.8)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:05.534274,"(2.9, 3.55, 3.2666666666666666)","(5.5, 9.0, 7.28)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 14.600000000000001)","(31.0, 220.0, 79.60000000000001)","(2.8, 5.0, 3.8)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:06.695557,"(2.9, 3.55, 3.2666666666666666)","(5.5, 9.0, 7.28)","(71.0, 220.0, 86.66666666666667)","(3.7, 7.0, 6.075)","(13.0, 23.0, 14.600000000000001)","(31.0, 220.0, 79.60000000000001)","(2.8, 5.0, 3.8)","(71.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:07.824727,"(2.9, 3.55, 3.2666666666666666)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.940722891566265)","(61.0, 220.0, 94.66666666666666)"
09-01-2023 12:05:08.918053,"(2.9, 3.95, 3.325)","(5.5, 9.0, 7.28)","(61.0, 220.0, 86.66666666666667)","(3.6, 7.0, 6.075)","(12.0, 23.0, 14.600000000000001)","(26.0, 220.0, 79.60000000000001)","(3.0, 5.0, 4.390000000000001)","(61.0, 220.0, 94.66666666666666)"
