,Sorrento Breeze,Katara Love,Say Some Words,Easy Eddie,Mean Pop
06-01-2023 11:34:09.396108,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:10.214267,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:11.053153,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.176470588235293)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:11.947563,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:12.842559,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:13.653334,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:14.453585,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 24.307692307692307)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:15.322136,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:16.143754,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:17.008877,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:17.979774,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:18.910504,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:19.818783,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:20.686355,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:21.564190,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:22.393819,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:23.311316,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:24.237401,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:25.098712,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:25.920225,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:26.828953,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:27.711999,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:28.549560,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:29.470061,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:30.418965,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:31.370509,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:32.174395,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:32.981013,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:33.835445,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:34.727145,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 28.764705882352942)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:35.573951,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 25.076923076923077)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:36.429283,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 25.076923076923077)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:37.247134,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 42.0, 25.076923076923077)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:38.096870,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 32.0)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:39.027726,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:39.862038,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
06-01-2023 11:34:40.641793,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 33.85714285714286)","(10.0, 18.5, 16.68)"
