,My Girl Mandy,Batman Jujon,Burton,Hollador Daisy,Dollar Bucks,Always Idle,Holme Boy,Kerrie Be,Bling Us Delight
15-12-2022 11:58:12.304568,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:13.512899,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:14.748776,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.6)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:15.964421,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:17.131952,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:18.267184,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:19.398148,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:20.637339,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:21.817945,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:23.030144,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:24.228962,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:25.456690,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:26.678636,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:27.871596,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:29.087429,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:30.398718,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:31.689475,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:32.887477,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.5)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:34.111730,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.666666666666664)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.377777777777776)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:35.342130,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.125)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.377777777777776)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:36.534022,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.125)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.377777777777776)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:37.697113,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.125)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.377777777777776)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:38.866686,"(7.0, 12.0, 10.2)","(21.0, 30.0, 27.125)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.377777777777776)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:40.026457,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.5625)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:41.241883,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.5625)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:42.403751,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.5625)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:43.606258,"(7.0, 12.0, 10.2)","(21.0, 30.0, 28.5625)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:44.738986,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:45.942139,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:47.207269,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:48.423699,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:49.688612,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.979166666666666)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:50.910434,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:52.106072,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:53.360237,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:54.577038,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:55.793457,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:57.035981,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:58.259434,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
15-12-2022 11:58:59.459979,"(7.0, 12.0, 10.2)","(21.0, 30.0, 24.5)","(5.0, 7.6, 7.314285714285714)","(13.0, 20.0, 18.25)","(2.6, 3.45, 3.2675)","(8.5, 11.0, 10.48)","(21.0, 32.0, 27.666666666666664)","(3.9, 5.1, 4.925)","(51.0, 190.0, 126.36363636363636)"
