,Square Dealer Nz,No Doubt Nz,Mummys Boy,Saving Major Percy,Le Tissier Nz,Sole Ambition Nz
08-12-2022 12:57:56.419074,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:57:57.637007,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:57:58.825517,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:00.005531,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:01.200676,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:02.348930,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:03.354760,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:04.453654,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:05.701362,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:06.867408,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:08.011134,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:08.933736,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:09.938946,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:11.051510,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:12.270276,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:13.415666,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:14.612146,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:15.779819,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:16.926493,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:18.062055,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:19.326112,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:20.453801,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:21.507155,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:22.522535,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:23.691677,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:24.834954,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:25.944134,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:26.989710,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
08-12-2022 12:58:28.036575,"(2.7, 99999, 99990)","(2.7, 99999, 99990)","(8.5, 14.0, 10.7)","(13.0, 22.0, 15.0)","(3.6, 99999, 99990)","(15.0, 99999, 99990)"
