,Caramel Toffee,Aglot,Premium Star,Runaway Kiss,Borgov,Freddy Barbarossa,Simply Beans,Harlow Queen,Redavni,Springs Gift,Minokawa,Bogan Princess,Dominant Rose,Sheez Bean Talkin,Mersey Girl
07-01-2023 16:15:34.832116,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 22.0)","(21.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.3, 3.85, 3.7666666666666666)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.5, 2.54, 2.5357142857142856)","(26.0, 34.0, 33.63636363636364)","(21.0, 38.0, 37.0)","(26.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:36.511357,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 22.0)","(21.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.3, 3.85, 3.7666666666666666)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.5, 2.54, 2.5357142857142856)","(26.0, 34.0, 33.63636363636364)","(21.0, 38.0, 37.0)","(26.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:38.206159,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 22.2)","(21.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.3, 3.85, 3.7666666666666666)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.5, 2.54, 2.5357142857142856)","(26.0, 34.0, 33.63636363636364)","(21.0, 38.0, 37.0)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:39.787890,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 23.0)","(26.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.2, 3.85, 3.7666666666666666)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.45, 2.54, 2.5357142857142856)","(26.0, 34.0, 33.63636363636364)","(21.0, 38.0, 37.0)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:41.374444,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 21.333333333333332)","(26.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.2, 3.85, 3.7666666666666666)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.45, 2.54, 2.5357142857142856)","(26.0, 34.0, 33.63636363636364)","(21.0, 38.0, 37.0)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:43.089197,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 21.333333333333332)","(26.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.2, 3.85, 3.7666666666666666)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.45, 2.54, 2.5357142857142856)","(26.0, 34.0, 33.63636363636364)","(21.0, 38.0, 37.0)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:44.704583,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 22.0)","(26.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.2, 3.85, 3.8)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.45, 2.54, 2.5345454545454547)","(26.0, 34.0, 37.0)","(21.0, 38.0, 37.0)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:46.394778,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 21.6)","(26.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.357142857142858)","(14.0, 22.0, 21.142857142857142)","(3.2, 3.85, 3.8)","(17.0, 26.0, 25.727272727272727)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.45, 2.54, 2.5345454545454547)","(26.0, 42.0, 35.333333333333336)","(21.0, 38.0, 37.0)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:47.951272,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 24.0, 27.666666666666664)","(26.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.357142857142858)","(14.0, 22.0, 21.142857142857142)","(3.2, 3.85, 3.8)","(17.0, 26.0, 25.57142857142857)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.45, 2.54, 2.5345454545454547)","(26.0, 42.0, 37.5)","(21.0, 38.0, 37.5)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
07-01-2023 16:15:49.642339,"(41.0, 95.0, 88.33333333333333)","(41.0, 75.0, 73.0)","(13.0, 29.0, 27.666666666666664)","(26.0, 60.0, 56.44444444444444)","(17.0, 21.0, 20.333333333333332)","(14.0, 22.0, 21.142857142857142)","(3.2, 3.85, 3.8222222222222224)","(17.0, 26.0, 25.57142857142857)","(26.0, 40.0, 37.53846153846154)","(51.0, 100.0, 85.0)","(2.45, 2.54, 2.5345454545454547)","(26.0, 42.0, 34.857142857142854)","(21.0, 38.0, 37.5)","(31.0, 60.0, 56.44444444444444)","(101.0, 200.0, 186.66666666666666)"
