,Princeton Award,Almsgiver,Dirt On Harry,Springvale Road,Diamond Luke,Johandough,Takumi,Till Its Over,West Cliff,Glitter N Gold,So She Can Fly,Celtic Glory
08-12-2022 15:31:38.511233,"(6.0, 7.0, 6.972881355932204)","(11.0, 13.5, 12.902325581395349)","(21.0, 28.0, 26.822916666666668)","(41.0, 60.0, 55.51282051282051)","(4.6, 5.4, 5.340277777777778)","(21.0, 34.0, 33.62130177514793)","(5.5, 6.2, 6.150349650349651)","(11.0, 12.0, 11.901515151515152)","(71.0, 100.0, 96.0)","(6.5, 7.6, 7.510344827586207)","(20.0, 24.0, 23.849397590361445)","(11.0, 12.5, 12.494623655913978)"
08-12-2022 15:31:40.430554,"(6.0, 7.0, 7.076056338028169)","(11.0, 13.0, 12.941176470588236)","(21.0, 27.0, 26.828282828282827)","(41.0, 60.0, 55.73170731707317)","(4.6, 5.4, 5.359055118110236)","(21.0, 34.0, 33.6144578313253)","(5.5, 6.2, 6.172932330827068)","(11.0, 12.0, 11.91095890410959)","(71.0, 100.0, 96.19047619047619)","(6.5, 7.6, 7.346308724832215)","(20.0, 24.0, 23.84375)","(11.0, 12.5, 12.49469964664311)"
08-12-2022 15:31:42.358293,"(6.0, 7.2, 6.802020202020202)","(11.0, 13.0, 13.161904761904761)","(21.0, 27.0, 26.766355140186917)","(41.0, 60.0, 55.833333333333336)","(4.6, 5.4, 5.395275590551181)","(21.0, 34.0, 33.63414634146341)","(5.5, 6.2, 6.179116465863454)","(11.0, 12.0, 12.253623188405797)","(71.0, 100.0, 96.03448275862068)","(6.5, 7.4, 7.337179487179488)","(20.0, 24.0, 23.864197530864196)","(11.0, 13.0, 12.701754385964913)"
08-12-2022 15:31:44.104099,"(6.0, 7.0, 6.585306122448979)","(11.0, 13.5, 13.213636363636363)","(21.0, 27.0, 26.78846153846154)","(41.0, 60.0, 55.93023255813954)","(4.6, 5.4, 5.3598540145985405)","(21.0, 34.0, 33.44864864864865)","(5.5, 6.2, 6.188932806324111)","(10.0, 12.5, 12.459770114942529)","(71.0, 100.0, 96.16666666666667)","(6.5, 7.4, 7.369014084507042)","(20.0, 25.0, 23.88073394495413)","(11.0, 13.0, 12.772357723577235)"
08-12-2022 15:31:45.762442,"(6.0, 6.6, 6.585306122448979)","(11.0, 13.5, 13.213636363636363)","(21.0, 27.0, 26.891304347826086)","(41.0, 60.0, 56.111111111111114)","(4.6, 5.4, 5.362962962962963)","(21.0, 34.0, 33.46448087431694)","(5.5, 6.2, 6.166197183098592)","(10.0, 12.5, 12.493827160493828)","(71.0, 100.0, 96.29032258064517)","(6.5, 7.4, 7.38909090909091)","(20.0, 25.0, 24.067708333333332)","(11.0, 13.0, 12.772357723577235)"
08-12-2022 15:31:47.472447,"(6.0, 6.6, 6.546478873239437)","(11.0, 13.5, 13.27007299270073)","(21.0, 27.0, 26.78846153846154)","(41.0, 60.0, 55.59701492537313)","(4.6, 5.4, 5.410697674418604)","(21.0, 34.0, 33.32846715328467)","(5.5, 6.2, 6.175732217573222)","(10.0, 12.5, 12.743589743589743)","(71.0, 100.0, 96.66666666666667)","(6.5, 7.4, 7.406611570247934)","(20.0, 25.0, 24.238297872340425)","(11.0, 13.0, 12.805970149253731)"
08-12-2022 15:31:49.200748,"(6.0, 6.6, 6.35483870967742)","(11.0, 13.5, 13.775641025641026)","(21.0, 27.0, 26.782178217821784)","(41.0, 65.0, 55.588235294117645)","(4.6, 5.5, 5.410697674418604)","(21.0, 34.0, 33.32846715328467)","(5.5, 6.4, 6.139767054908486)","(10.0, 13.0, 12.743589743589743)","(71.0, 100.0, 96.66666666666667)","(6.5, 7.6, 7.406611570247934)","(20.0, 25.0, 24.238297872340425)","(11.0, 13.0, 12.805970149253731)"
08-12-2022 15:31:50.923947,"(6.0, 6.4, 6.35483870967742)","(11.0, 14.0, 13.848039215686274)","(21.0, 27.0, 26.782178217821784)","(41.0, 65.0, 55.588235294117645)","(4.6, 5.5, 5.410697674418604)","(21.0, 34.0, 33.32846715328467)","(5.5, 6.4, 6.138842975206612)","(10.0, 13.0, 12.743589743589743)","(71.0, 100.0, 96.66666666666667)","(6.5, 7.6, 7.406611570247934)","(20.0, 25.0, 24.242424242424242)","(11.0, 13.0, 12.805970149253731)"
08-12-2022 15:31:52.649010,"(6.0, 6.4, 6.357142857142858)","(12.0, 14.0, 13.857798165137615)","(21.0, 27.0, 26.929411764705883)","(51.0, 65.0, 55.588235294117645)","(4.6, 5.5, 5.409543568464731)","(21.0, 34.0, 33.32846715328467)","(5.5, 6.4, 6.138842975206612)","(11.0, 13.0, 12.767605633802816)","(71.0, 100.0, 97.17948717948718)","(6.5, 7.6, 7.408196721311476)","(20.0, 25.0, 24.242424242424242)","(11.0, 13.0, 12.805970149253731)"
08-12-2022 15:31:54.362888,"(6.0, 6.4, 6.357142857142858)","(12.0, 14.0, 13.867521367521368)","(21.0, 27.0, 26.93258426966292)","(51.0, 65.0, 55.857142857142854)","(4.6, 5.5, 5.41921568627451)","(21.0, 34.0, 33.34285714285714)","(5.5, 6.4, 6.146925566343042)","(11.0, 13.0, 12.78921568627451)","(71.0, 100.0, 97.25)","(6.5, 7.6, 7.458181818181818)","(20.0, 25.0, 24.258474576271187)","(11.0, 13.0, 12.745945945945946)"
08-12-2022 15:31:56.026884,"(6.0, 6.4, 6.3055900621118015)","(12.0, 14.0, 13.867521367521368)","(21.0, 27.0, 26.988095238095237)","(51.0, 65.0, 55.857142857142854)","(4.6, 5.5, 5.431972789115647)","(21.0, 34.0, 33.34285714285714)","(5.5, 6.4, 6.158641975308642)","(11.0, 13.0, 12.78921568627451)","(71.0, 100.0, 97.25)","(6.5, 7.6, 7.378616352201258)","(20.0, 25.0, 24.288617886178862)","(11.0, 13.0, 12.745945945945946)"
08-12-2022 15:31:57.771606,"(6.0, 6.4, 6.248)","(12.0, 14.0, 13.913461538461538)","(21.0, 27.0, 26.864583333333332)","(51.0, 65.0, 55.75)","(4.6, 5.5, 5.367948717948718)","(21.0, 34.0, 32.666666666666664)","(5.5, 6.4, 6.200990099009902)","(11.0, 13.0, 12.864197530864198)","(71.0, 100.0, 96.07142857142857)","(6.5, 7.4, 7.479347826086957)","(20.0, 25.0, 24.31640625)","(11.0, 13.0, 12.772946859903382)"
08-12-2022 15:31:59.373387,"(6.0, 6.4, 6.354901960784314)","(12.0, 14.0, 13.846774193548388)","(21.0, 27.0, 27.07792207792208)","(51.0, 60.0, 55.76923076923077)","(4.6, 5.4, 5.3803921568627455)","(21.0, 34.0, 31.57843137254902)","(5.5, 6.4, 6.155251141552512)","(11.0, 13.0, 12.723484848484848)","(71.0, 100.0, 96.33333333333333)","(6.5, 7.6, 7.4885375494071145)","(20.0, 25.0, 24.334600760456272)","(11.0, 13.0, 12.786363636363637)"
08-12-2022 15:32:00.937895,"(6.0, 6.4, 6.4297872340425535)","(12.0, 14.0, 13.846774193548388)","(21.0, 28.0, 27.07792207792208)","(51.0, 60.0, 55.76923076923077)","(4.6, 5.4, 5.37872340425532)","(21.0, 32.0, 31.57843137254902)","(5.5, 6.4, 6.157894736842105)","(11.0, 13.0, 12.723484848484848)","(71.0, 100.0, 103.0)","(6.5, 7.6, 7.537423312883435)","(20.0, 25.0, 24.401041666666668)","(11.0, 13.0, 12.816582914572864)"
08-12-2022 15:32:02.561253,"(6.0, 6.6, 6.444155844155844)","(12.0, 14.0, 13.856060606060606)","(21.0, 28.0, 27.10126582278481)","(51.0, 60.0, 55.97560975609756)","(4.6, 5.4, 5.3803921568627455)","(21.0, 32.0, 31.584541062801932)","(5.5, 6.4, 6.174285714285714)","(11.0, 13.0, 12.74113475177305)","(71.0, 110.0, 101.75)","(6.5, 7.6, 7.658139534883721)","(20.0, 25.0, 24.43850267379679)","(11.0, 13.0, 12.82451923076923)"
