,Long Gully Brown,Burning Fee,Bailey The Rock,Bruces Angel,Ballroom Belle,Emerley Cougar
04-01-2023 10:29:01.919832,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:02.864034,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:03.809344,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:04.781320,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:05.701625,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:06.639942,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:07.567056,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:08.462886,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:09.350593,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:10.230034,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:11.107716,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:12.004957,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:12.866563,"(2.05, 3.25, 2.836086956521739)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:13.781922,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
04-01-2023 10:29:14.664256,"(2.05, 3.25, 3.024864864864865)","(14.0, 46.0, 33.88461538461539)","(14.0, 38.0, 28.192307692307693)","(5.5, 13.0, 10.958620689655172)","(8.5, 19.0, 16.409090909090907)","(2.5, 4.1, 3.0894736842105264)"
