,Yarraman Rocky,Rockslide,Favreau,Rocknroll Max Nz,The Weekend,Bejiggity,Raani,Ideal Tiger Nz
05-01-2023 15:28:35.951004,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:37.305455,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:38.662612,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:39.960608,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:41.215913,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:42.448088,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:43.652118,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:44.867336,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:46.129572,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
05-01-2023 15:28:47.347490,"(31.0, 65.0, 41.0)","(2.6, 3.45, 3.035)","(6.5, 9.6, 8.1)","(61.0, 99999, 99990)","(3.2, 4.2, 3.625)","(6.5, 11.0, 9.3)","(7.5, 12.5, 10.299999999999999)","(8.0, 99999, 99990)"
