,White Star Village,Keayang Alex,Well Thats Alright,All Good,Moreartsthanclass,Didshedoit Nz,Be The One,Charisma King,Heart Of Oaklands,Tallaras Shadow,Markleigh Caz,Clarenden Legacy
14-12-2022 19:22:04.541863,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:06.013047,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:07.576490,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:09.053400,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:10.511851,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:12.020155,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:13.583256,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:15.101726,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:16.597691,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:18.230944,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:19.812010,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:21.245162,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:22.747802,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:24.230690,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 202.85714285714286)","(101.0, 320.0, 260.0)","(13.0, 99999, 99990)","(26.0, 42.0, 32.0)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 251.42857142857142)","(26.0, 60.0, 34.666666666666664)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:25.728514,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 150.90909090909093)","(101.0, 320.0, 278.0)","(13.0, 99999, 99990)","(26.0, 42.0, 35.666666666666664)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 272.0)","(26.0, 60.0, 49.142857142857146)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
14-12-2022 19:22:27.295820,"(12.0, 18.5, 15.833333333333332)","(3.1, 4.9, 3.8800000000000003)","(6.0, 10.5, 9.2)","(71.0, 260.0, 150.90909090909093)","(101.0, 320.0, 278.0)","(13.0, 99999, 99990)","(26.0, 42.0, 35.666666666666664)","(3.3, 5.4, 4.300000000000001)","(91.0, 320.0, 272.0)","(26.0, 60.0, 49.142857142857146)","(10.0, 19.0, 15.16)","(6.0, 10.5, 9.0375)"
