,Aston Bier,Afro Puff,Gypsy Warrior,Bad Bailey,Maximum Sophie,Myola Dawn,Crazy Old Fool,War Of Words
0,"[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 8.5, 9.2]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 3.0, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 7, 716233), 10.0, 14.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 8.5, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 8, 946022), 10.0, 13.5]"
2,"[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 8.5, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 10, 119206), 10.0, 13.5]"
3,"[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 11, 268559), 10.0, 13.5]"
4,"[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 12, 458640), 10.0, 13.5]"
5,"[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 13, 646835), 10.0, 13.5]"
6,"[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 14, 812284), 10.0, 13.5]"
7,"[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 15, 997720), 10.0, 13.5]"
8,"[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 2.8, 3.2]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 17, 179020), 10.0, 13.5]"
9,"[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 18, 346754), 10.0, 13.5]"
10,"[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 4.6, 6.6]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 19, 474499), 10.0, 13.5]"
11,"[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 4.6, 6.6]","[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 20, 629590), 10.0, 13.5]"
12,"[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 757910), 10.0, 13.5]"
13,"[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 61.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 3.0, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 11.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 894345), 10.0, 13.5]"
14,"[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 3.1, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 82633), 10.0, 13.5]"
15,"[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 8.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 3.1, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 272033), 10.0, 13.5]"
16,"[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 8.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 3.1, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 12.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 26, 415069), 10.0, 13.5]"
17,"[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 8.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 3.1, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 12.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 555470), 10.0, 13.5]"
18,"[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 3.1, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 12.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 691716), 10.0, 13.5]"
19,"[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 3.1, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 2.8, 3.15]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 12.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 832579), 10.0, 13.5]"
20,"[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 3.1, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 2.8, 3.1]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 970621), 10.0, 13.5]"
21,"[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 4.6, 6.8]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 3.1, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 2.8, 3.1]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 99967), 10.0, 13.5]"
22,"[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 3.1, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 2.8, 3.1]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 33, 245236), 10.0, 13.5]"
23,"[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 4.6, 6.6]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 3.1, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 2.8, 3.05]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 34, 377805), 10.0, 13.5]"
24,"[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 4.6, 6.6]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 3.1, 3.85]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 2.8, 3.05]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 35, 511276), 10.0, 13.5]"
25,"[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 8.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 71.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 3.1, 3.9]","[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 2.8, 3.1]","[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 12.0, 20.0]","[datetime.datetime(2022, 11, 28, 17, 54, 36, 645694), 10.0, 13.5]"
