,Rhythmic Pulse,Abdicating,Subterranean,Bundyandcoke,Maxcalemma,Holiday Dreams,Fastconi,Head Legislator,Magic Conqueror,Capri Of Tuffy,Onchao,Vetta Velocita
11-01-2023 17:43:22.636577,"(26.0, 36.0, 34.8)","(21.0, 30.0, 29.181818181818183)","(5.5, 6.8, 6.713333333333333)","(5.5, 6.8, 6.711811023622047)","(10.0, 11.0, 11.165289256198347)","(14.0, 15.5, 15.643478260869566)","(4.6, 5.1, 4.929078014184397)","(13.0, 14.5, 13.473484848484848)","(16.0, 19.5, 19.36111111111111)","(11.0, 13.0, 12.914285714285715)","(26.0, 32.0, 30.155963302752294)","(17.0, 19.5, 19.071428571428573)"
11-01-2023 17:43:24.066071,"(26.0, 36.0, 34.8)","(21.0, 30.0, 29.181818181818183)","(5.5, 6.8, 6.713333333333333)","(5.5, 6.8, 6.711811023622047)","(10.0, 11.5, 11.165289256198347)","(14.0, 16.0, 15.62135922330097)","(4.6, 5.0, 4.913804713804714)","(13.0, 13.5, 13.393292682926829)","(16.0, 19.5, 19.1)","(11.0, 13.0, 12.957894736842105)","(26.0, 32.0, 30.155963302752294)","(17.0, 19.5, 19.071428571428573)"
11-01-2023 17:43:25.578584,"(26.0, 36.0, 34.8)","(21.0, 30.0, 29.181818181818183)","(5.5, 6.8, 6.713333333333333)","(5.5, 6.8, 6.699099099099099)","(10.0, 12.0, 11.69774011299435)","(14.0, 16.0, 15.261111111111111)","(4.6, 5.0, 4.892953929539296)","(12.0, 13.5, 12.93840579710145)","(16.0, 19.5, 19.25)","(11.0, 13.0, 12.924528301886792)","(26.0, 32.0, 30.112676056338028)","(17.0, 19.5, 19.105263157894736)"
11-01-2023 17:43:26.967698,"(26.0, 36.0, 34.8)","(21.0, 30.0, 29.181818181818183)","(5.5, 6.8, 6.732710280373832)","(5.5, 6.8, 6.698181818181818)","(10.0, 12.0, 11.69774011299435)","(14.0, 15.5, 15.261111111111111)","(4.4, 4.9, 4.893051359516616)","(13.0, 13.0, 12.837765957446809)","(16.0, 19.5, 19.270833333333332)","(11.0, 13.0, 12.922330097087379)","(26.0, 32.0, 30.112676056338028)","(17.0, 19.5, 19.105263157894736)"
11-01-2023 17:43:28.313373,"(26.0, 36.0, 34.8)","(21.0, 30.0, 29.181818181818183)","(5.5, 6.8, 6.732710280373832)","(5.5, 6.8, 6.714583333333333)","(10.0, 12.0, 11.69774011299435)","(14.0, 15.5, 15.2008547008547)","(4.4, 4.9, 4.893051359516616)","(13.0, 13.0, 12.810526315789474)","(16.0, 19.5, 19.270833333333332)","(11.0, 13.0, 12.922330097087379)","(26.0, 32.0, 30.029411764705884)","(17.0, 19.5, 19.105263157894736)"
11-01-2023 17:43:29.783763,"(26.0, 36.0, 34.94117647058823)","(21.0, 30.0, 29.181818181818183)","(5.5, 6.8, 6.734677419354838)","(5.5, 6.8, 6.727753303964757)","(10.0, 12.0, 11.78)","(14.0, 15.5, 15.169811320754716)","(4.4, 4.9, 4.875)","(12.0, 13.0, 12.810526315789474)","(16.0, 19.5, 19.270833333333332)","(11.0, 13.0, 12.922330097087379)","(26.0, 32.0, 30.029411764705884)","(17.0, 19.5, 19.105263157894736)"
11-01-2023 17:43:31.193479,"(26.0, 36.0, 35.411764705882355)","(21.0, 30.0, 29.181818181818183)","(5.5, 6.8, 6.734677419354838)","(5.5, 6.8, 6.727433628318584)","(10.0, 12.0, 11.417241379310346)","(14.0, 15.5, 15.195652173913043)","(4.4, 4.9, 4.883898305084746)","(12.0, 13.0, 12.854166666666666)","(16.0, 19.5, 18.988636363636363)","(11.0, 13.0, 12.898936170212766)","(26.0, 32.0, 30.13888888888889)","(17.0, 19.5, 19.45098039215686)"
11-01-2023 17:43:32.651805,"(26.0, 36.0, 35.714285714285715)","(21.0, 30.0, 29.419354838709676)","(5.5, 6.8, 6.717808219178082)","(5.5, 7.0, 6.867241379310345)","(10.0, 11.5, 11.364406779661017)","(14.0, 15.5, 15.19620253164557)","(4.4, 4.9, 4.895652173913044)","(12.0, 13.0, 12.869565217391305)","(16.0, 19.0, 18.988636363636363)","(11.0, 13.0, 13.020408163265307)","(26.0, 32.0, 30.13888888888889)","(17.0, 20.0, 19.674418604651162)"
11-01-2023 17:43:33.964079,"(26.0, 36.0, 35.714285714285715)","(21.0, 30.0, 29.419354838709676)","(5.5, 6.8, 6.717808219178082)","(5.5, 7.0, 6.908333333333333)","(10.0, 11.5, 11.364406779661017)","(14.0, 15.5, 15.19620253164557)","(4.4, 4.9, 4.896052631578947)","(12.0, 13.0, 12.866666666666667)","(16.0, 19.0, 18.99074074074074)","(11.0, 13.5, 13.166666666666666)","(26.0, 32.0, 30.18918918918919)","(17.0, 20.0, 19.708333333333332)"
11-01-2023 17:43:35.269126,"(26.0, 36.0, 35.76470588235294)","(21.0, 30.0, 29.470588235294116)","(5.5, 6.8, 6.723076923076923)","(6.0, 7.0, 6.912871287128713)","(10.0, 11.5, 11.245810055865922)","(14.0, 15.5, 14.05043227665706)","(4.4, 4.9, 4.8961373390557945)","(12.0, 13.0, 12.866666666666667)","(16.0, 19.0, 18.99074074074074)","(11.0, 13.5, 13.136752136752136)","(26.0, 32.0, 30.189655172413794)","(17.0, 20.0, 19.76923076923077)"
