,Arnhem Axel,Bonnet Surfer,Coco Evie,Sunshine Fire,Velocity Tori,Villainess,Hurricane Villa
07-12-2022 19:44:00.983348,"(9.0, 19.0, 10.666666666666666)","(19.0, 55.0, 29.666666666666664)","(12.0, 28.0, 20.842105263157897)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.8, 6.607692307692307)"
07-12-2022 19:44:02.284264,"(9.0, 19.0, 10.666666666666666)","(19.0, 55.0, 29.666666666666664)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.8, 6.730769230769231)"
07-12-2022 19:44:03.601698,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 29.666666666666664)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:04.884592,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 29.666666666666664)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:06.088520,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:07.228895,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:08.466964,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:09.672906,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:10.863629,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:11.996018,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:13.145613,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:14.312221,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:15.489710,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:16.684411,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:18.029172,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:19.331129,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:20.651700,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:22.077727,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 19.904761904761905)","(2.1, 3.15, 2.753846153846154)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:23.325205,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 31.923076923076923)","(12.0, 28.0, 22.0)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:24.508180,"(9.0, 20.0, 10.833333333333334)","(19.0, 55.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:25.807313,"(9.0, 20.0, 10.833333333333334)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:27.141849,"(9.0, 20.0, 12.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.730769230769231)"
07-12-2022 19:44:28.622134,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 8.0, 6.484615384615385)"
07-12-2022 19:44:29.987657,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:31.321378,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
07-12-2022 19:44:32.712516,"(9.0, 19.0, 10.666666666666666)","(19.0, 50.0, 30.0)","(12.0, 27.0, 20.263157894736842)","(2.1, 3.15, 2.5908571428571427)","(6.5, 12.0, 7.65)","(4.4, 8.8, 4.986666666666667)","(4.6, 7.6, 6.484615384615385)"
