,Rippin Grace,Makuru,Sassy Blade,Fava Monelli,Jumpin Jules,Super Charge,Ash The Flash
07-01-2023 21:02:04.275745,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 49.09090909090909)","(7.0, 15.0, 8.76)","(31.0, 230.0, 101.25)"
07-01-2023 21:02:05.415617,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 49.09090909090909)","(7.0, 15.0, 8.76)","(31.0, 230.0, 101.25)"
07-01-2023 21:02:06.538397,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 39.6875)","(7.0, 15.0, 8.76)","(31.0, 230.0, 101.25)"
07-01-2023 21:02:07.684822,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 39.6875)","(7.0, 15.0, 8.76)","(31.0, 230.0, 101.25)"
07-01-2023 21:02:08.771417,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 39.6875)","(7.0, 15.0, 8.76)","(31.0, 230.0, 101.25)"
07-01-2023 21:02:09.784912,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 39.6875)","(7.0, 15.0, 8.76)","(31.0, 230.0, 101.25)"
07-01-2023 21:02:10.879420,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:11.915211,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:13.001853,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
07-01-2023 21:02:14.087028,"(2.0, 2.24, 2.0127272727272727)","(11.0, 27.0, 22.363636363636363)","(81.0, 610.0, 516.0)","(2.0, 3.05, 2.977)","(26.0, 75.0, 42.5)","(7.0, 15.0, 8.76)","(31.0, 230.0, 85.71428571428572)"
