,Magical Trav,Wheres The Ford,Two Jabs,Magical Len,Ferocity
08-01-2023 14:04:11.409265,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 48.57142857142857)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:12.249201,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 48.57142857142857)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:13.129485,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 48.57142857142857)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:13.979549,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 48.57142857142857)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:14.782270,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 48.57142857142857)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:15.651971,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 48.57142857142857)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:16.588475,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:17.439730,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:18.258524,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:19.180588,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:20.044269,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:20.898819,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:21.814420,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:22.734173,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:23.551969,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:24.400043,"(10.0, 28.0, 17.77777777777778)","(2.8, 4.5, 3.788888888888889)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.666666666666668)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:25.252320,"(10.0, 28.0, 16.75)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 21.666666666666664)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:26.170482,"(10.0, 28.0, 19.81818181818182)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 21.666666666666664)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:27.094946,"(10.0, 28.0, 19.81818181818182)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 21.666666666666664)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:27.876812,"(10.0, 28.0, 19.81818181818182)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 21.666666666666664)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:04:28.761628,"(10.0, 28.0, 21.866666666666667)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 21.666666666666664)","(1.45, 1.92, 1.9130434782608694)"
