,Alta Billy,Southbound Train Nz,Uncle Jay,Selsey Bill Nz,Our Money Rocks,Red Reactor Nz,Carlo Gambino Nz,Father Bob,Soho Sinatra,Blue Chip Delight Nz
07-01-2023 17:10:54.524101,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:10:55.947234,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:10:57.824536,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:10:59.329057,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:00.802471,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:02.480521,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:04.235290,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:05.660387,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:07.144778,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:08.565894,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:10.022690,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:11.469782,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:13.060571,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:14.425086,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:15.759890,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:17.035328,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:18.334884,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:19.630085,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:20.854590,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:22.091214,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:23.356851,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:24.715602,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:26.120100,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:27.400175,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:28.688738,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:30.016741,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:31.397429,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:32.730069,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:34.050622,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:35.323979,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:36.565063,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:37.848926,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:39.128782,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:40.345524,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:41.610477,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:42.819897,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:44.165279,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:45.532788,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:46.829678,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:48.105136,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:49.474442,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:51.111997,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:52.586512,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:53.982748,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:55.367542,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:56.763601,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:58.049303,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:11:59.273098,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:00.563130,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 9.95)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
07-01-2023 17:12:01.785179,"(9.0, 17.0, 15.736842105263158)","(51.0, 99999, 99990)","(13.0, 25.0, 20.833333333333336)","(26.0, 99999, 99990)","(7.5, 12.5, 8.42)","(9.0, 99999, 99990)","(7.5, 99999, 99990)","(5.0, 9.6, 5.92)","(3.5, 6.4, 4.466666666666667)","(5.5, 99999, 99990)"
