,Two Bit Kid,Franco,Likeable,Torontotoro,Black Candy,My Buddy B
14-12-2022 12:12:53.297782,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:12:54.620995,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:12:55.901915,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:12:57.151951,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:12:58.348272,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:12:59.436055,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:00.549937,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:01.646381,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:02.790336,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:03.962191,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:05.148452,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:06.258165,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:07.412318,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:08.565467,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:09.746209,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:10.967293,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:12.009404,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:13.152468,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:14.330085,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:15.436890,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:16.511354,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
14-12-2022 12:13:17.664687,"(4.4, 6.4, 5.1)","(21.0, 190.0, 103.75)","(7.5, 12.0, 9.066666666666666)","(3.3, 6.0, 4.657142857142857)","(41.0, 99999, 6675.666666666667)","(2.2, 2.84, 2.543529411764706)"
