,Double Standards,Frozen Jewel,Kalypso Sam,Shes An Artist,Switchem All In,Preachers Daughter,Llanfair Llewellan,Rusty Mccool
11-01-2023 20:23:04.804966,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:06.153354,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:07.507715,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:08.789791,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:10.141718,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:11.438232,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:12.780566,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:14.104884,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:15.386168,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:16.698776,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:18.062842,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:19.405639,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:20.697767,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:22.039944,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
11-01-2023 20:23:23.382110,"(3.6, 7.4, 4.6)","(2.1, 3.95, 2.7833333333333337)","(12.0, 22.0, 18.8)","(101.0, 220.0, 194.28571428571428)","(61.0, 220.0, 177.14285714285714)","(6.0, 10.0, 7.333333333333333)","(101.0, 220.0, 166.66666666666666)","(3.4, 6.0, 4.3)"
