,Claudys Secret,Southwind Chloe,Miss Avenger,Kyvalley Anthony,Grumpee,Romantic Nina
06-01-2023 16:37:47.182674,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:48.240776,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:49.231110,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:50.200503,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:51.189180,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:52.089928,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:52.991824,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:53.965209,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:54.945686,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:55.935511,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:56.917285,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:58.217201,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:37:59.196101,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:00.045059,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:01.031214,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:02.102222,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:03.135824,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
06-01-2023 16:38:04.151819,"(2.05, 2.82, 2.691111111111111)","(15.0, 25.0, 19.75)","(18.0, 42.0, 28.285714285714285)","(1.95, 3.15, 2.2344444444444447)","(8.0, 13.5, 9.416666666666666)","(21.0, 50.0, 34.0)"
