,Game One,Stone Cold Blue,Set Sail,Lady Mcbeth,Flying Yumi,Tiger Vision,Flying Star
08-01-2023 17:28:53.139352,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:28:54.280940,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:28:55.392705,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:28:56.433499,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:28:57.439316,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:28:58.388846,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:28:59.344020,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:00.356425,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:01.419640,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
08-01-2023 17:29:02.478197,"(4.6, 9.4, 4.942857142857142)","(3.1, 5.1, 3.174074074074074)","(2.8, 4.0, 3.831764705882353)","(41.0, 130.0, 58.57142857142857)","(31.0, 190.0, 74.28571428571428)","(21.0, 95.0, 58.5)","(3.0, 5.0, 3.5405405405405403)"
