,Taking A Toll,Zamboras Girl,Kouta Marjen,Dance Mode,Mr Larson,Long Way Home
12-01-2023 14:38:27.725046,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.84)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:28.706136,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.84)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:29.755745,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.84)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:30.912377,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.84)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:31.896559,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.84)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:32.971092,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.6)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:34.123291,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.6)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:35.345609,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.71)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:36.503252,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.71)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:37.670884,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 5.886666666666667)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:38.688871,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:39.643362,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:40.655192,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:41.763554,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:42.877608,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:43.937622,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:44.867720,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:45.849566,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:46.892641,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:47.984861,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:48.904853,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:49.949179,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:50.964105,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
12-01-2023 14:38:51.920719,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 13.96)","(5.0, 8.6, 6.338888888888889)","(4.4, 8.4, 4.74375)"
