,Miss Sadie Lea,Smooth Jack,Purple Vixen,Super Kade,King Nito,Nations Rock,Be Blessed,Yindy Girl
10-01-2023 20:16:45.783281,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 151.42857142857144)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 34.94444444444444)","(16.0, 36.0, 33.22222222222222)","(16.0, 46.0, 33.708333333333336)"
10-01-2023 20:16:46.915836,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 151.42857142857144)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 34.94444444444444)","(16.0, 36.0, 33.22222222222222)","(16.0, 46.0, 33.708333333333336)"
10-01-2023 20:16:47.984993,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 151.42857142857144)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 34.94444444444444)","(16.0, 36.0, 33.22222222222222)","(16.0, 46.0, 33.708333333333336)"
10-01-2023 20:16:49.091822,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 151.42857142857144)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 34.94444444444444)","(16.0, 36.0, 33.22222222222222)","(16.0, 46.0, 33.708333333333336)"
10-01-2023 20:16:50.190387,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 151.42857142857144)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 34.94444444444444)","(16.0, 36.0, 33.22222222222222)","(16.0, 46.0, 33.708333333333336)"
10-01-2023 20:16:51.292906,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 151.42857142857144)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 34.94444444444444)","(16.0, 36.0, 33.22222222222222)","(16.0, 46.0, 33.708333333333336)"
10-01-2023 20:16:52.360791,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 151.42857142857144)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:16:53.471576,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:16:54.562061,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:16:55.672255,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:16:56.755004,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:16:57.809369,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:16:58.829592,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:16:59.880290,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:00.896969,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:01.927778,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:02.943810,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
10-01-2023 20:17:03.952118,"(4.6, 7.4, 6.316666666666666)","(2.7, 4.9, 4.4375)","(41.0, 410.0, 187.23076923076923)","(3.0, 4.4, 4.359166666666667)","(5.5, 9.8, 8.494444444444445)","(17.0, 38.0, 23.666666666666668)","(16.0, 36.0, 23.0)","(16.0, 46.0, 29.88888888888889)"
