,Highway Man,Oodnadatta Man,Mayfair Ronnie,Akina Onyx,So Joe Mac,Waves Crashing,Thylacine
09-01-2023 16:07:37.753767,"(15.0, 90.0, 79.42857142857143)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:38.799571,"(15.0, 90.0, 79.42857142857143)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:39.842162,"(15.0, 90.0, 79.42857142857143)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:40.802333,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:41.844868,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:42.842288,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:43.903851,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:44.824496,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:45.764725,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:46.830316,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:48.128217,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:49.388299,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:50.455099,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:51.458081,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:52.463636,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:53.464024,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:54.472485,"(15.0, 90.0, 80.8125)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:55.463981,"(15.0, 90.0, 71.75)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
09-01-2023 16:07:56.415546,"(15.0, 90.0, 71.75)","(3.5, 5.7, 4.410714285714286)","(5.0, 9.0, 6.8549999999999995)","(3.8, 6.4, 4.252173913043478)","(61.0, 550.0, 467.5)","(2.8, 3.85, 2.8438461538461537)","(9.0, 17.5, 11.566666666666666)"
