,Tolkowsky,Storm Attack,Drop The Pilot,Giveitallali,Heleva Deel,Harmony Nation,Lexis Choice,Kings Row,Inside Information,The Angels Kiss
05-01-2023 14:56:26.198336,"(2.0, 2.28, 2.2687999999999997)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.875)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 64.0)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:27.558732,"(2.0, 2.28, 2.2687999999999997)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.875)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 64.0)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:28.895795,"(2.0, 2.28, 2.2687999999999997)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.875)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 64.0)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:30.136392,"(2.0, 2.28, 2.266)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.875)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:31.573556,"(2.0, 2.28, 2.266)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.875)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:32.866532,"(2.0, 2.28, 2.266)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.875)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:34.157553,"(2.0, 2.28, 2.266)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.875)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:35.485811,"(2.0, 2.28, 2.266)","(11.0, 19.0, 18.35185185185185)","(14.0, 17.5, 16.346153846153847)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 57.0)","(26.0, 48.0, 47.666666666666664)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:36.743356,"(2.0, 2.28, 2.266)","(11.0, 19.0, 18.22222222222222)","(14.0, 17.5, 14.583333333333334)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.8)","(81.0, 200.0, 165.0)"
05-01-2023 14:56:38.037526,"(2.0, 2.3, 2.2628571428571425)","(11.0, 19.0, 18.22222222222222)","(14.0, 15.5, 14.583333333333334)","(10.0, 18.0, 17.666666666666668)","(3.3, 3.6, 3.5666666666666664)","(41.0, 80.0, 53.75)","(13.0, 23.0, 21.153846153846153)","(26.0, 60.0, 54.666666666666664)","(26.0, 48.0, 47.5)","(81.0, 200.0, 165.0)"
