,Im Harvey Specter Nz,Crime Time,Dust To Diamonds,Billy Glanvill,Miami Surf,Ellas Reason,Bundle Of Notes,Guy Looks Good,Jimmy Beach,Weman Macha
06-01-2023 14:02:25.847200,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.4, 5.32)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 8.6, 7.6)","(7.0, 14.5, 11.5)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.7, 3.5833333333333335)"
06-01-2023 14:02:27.388600,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.4, 5.32)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.8, 7.6125)","(7.0, 14.5, 11.5)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.7, 3.5833333333333335)"
06-01-2023 14:02:28.880052,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.4, 5.32)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.8, 7.6000000000000005)","(7.0, 14.5, 11.5)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.7, 3.5833333333333335)"
06-01-2023 14:02:30.212343,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.4, 5.32)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 8.0, 7.6000000000000005)","(7.0, 14.5, 11.5)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.7, 3.5833333333333335)"
06-01-2023 14:02:31.662139,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.4, 4.857142857142858)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 8.0, 7.2)","(7.0, 14.5, 11.5)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.7, 3.4000000000000004)"
06-01-2023 14:02:33.088861,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.4, 5.34)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 8.0, 7.604444444444444)","(7.0, 14.5, 12.066666666666666)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.7, 3.3175)"
06-01-2023 14:02:34.392536,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.4, 5.220000000000001)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.8, 7.3538461538461535)","(7.0, 14.5, 12.066666666666666)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.2133333333333334)"
06-01-2023 14:02:35.634562,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.2, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.6, 7.3538461538461535)","(7.0, 14.5, 12.066666666666666)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.2133333333333334)"
06-01-2023 14:02:36.895949,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.6, 7.454545454545454)","(7.0, 14.5, 12.066666666666666)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.2133333333333334)"
06-01-2023 14:02:38.187768,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.6, 7.454545454545454)","(7.0, 14.5, 12.066666666666666)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.2133333333333334)"
06-01-2023 14:02:39.658514,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.6, 7.454545454545454)","(7.0, 14.5, 12.066666666666666)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:41.101416,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.6, 7.034782608695652)","(7.0, 14.5, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
06-01-2023 14:02:42.723736,"(31.0, 99999, 99990)","(101.0, 220.0, 191.42857142857144)","(3.7, 6.0, 5.4375)","(101.0, 220.0, 191.42857142857144)","(71.0, 220.0, 172.85714285714286)","(51.0, 220.0, 170.28571428571428)","(5.0, 7.4, 7.034782608695652)","(7.0, 15.0, 13.440000000000001)","(4.8, 8.8, 6.133333333333334)","(2.45, 3.65, 3.3274999999999997)"
