,Mocial Chief,Bombasay,Daunting Queen,Age Of Innocence,Svindal,Starsonic,Bering Sea,Spirit Esprit,Tri Nations
10-01-2023 16:27:48.721720,"(2.45, 2.86, 2.8266666666666667)","(6.0, 7.4, 7.644444444444444)","(31.0, 80.0, 75.83333333333334)","(2.5, 3.2, 3.1547619047619047)","(71.0, 110.0, 100.625)","(8.5, 12.0, 11.8)","(15.0, 42.0, 37.5)","(21.0, 40.0, 39.4)","(21.0, 36.0, 31.0)"
10-01-2023 16:27:50.173773,"(2.45, 2.84, 2.8266666666666667)","(6.0, 8.0, 7.68)","(31.0, 80.0, 80.71428571428572)","(2.5, 3.2, 3.1547619047619047)","(71.0, 110.0, 100.625)","(8.5, 12.0, 11.8)","(15.0, 42.0, 37.5)","(21.0, 40.0, 39.57142857142857)","(21.0, 36.0, 31.0)"
10-01-2023 16:27:51.658766,"(2.45, 2.84, 2.8266666666666667)","(6.0, 8.0, 7.68)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.1476190476190475)","(71.0, 110.0, 100.625)","(8.5, 12.0, 12.625)","(15.0, 42.0, 37.5)","(21.0, 40.0, 39.57142857142857)","(21.0, 36.0, 31.0)"
10-01-2023 16:27:53.264674,"(2.45, 2.84, 2.8266666666666667)","(6.0, 8.0, 7.68)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 13.0, 12.333333333333334)","(15.0, 42.0, 37.5)","(21.0, 40.0, 39.57142857142857)","(21.0, 36.0, 31.0)"
10-01-2023 16:27:54.827932,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.68)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.25)","(15.0, 42.0, 37.5)","(21.0, 40.0, 39.57142857142857)","(21.0, 36.0, 31.0)"
10-01-2023 16:27:56.388757,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.68)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 13.0, 12.25)","(15.0, 42.0, 34.54545454545455)","(21.0, 40.0, 39.57142857142857)","(21.0, 36.0, 31.0)"
10-01-2023 16:27:58.682600,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.808)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 13.0, 12.166666666666666)","(15.0, 40.0, 34.54545454545455)","(21.0, 40.0, 39.57142857142857)","(21.0, 36.0, 31.0)"
10-01-2023 16:28:00.915765,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.808)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 40.0, 34.54545454545455)","(21.0, 40.0, 39.57142857142857)","(21.0, 36.0, 31.0)"
10-01-2023 16:28:02.494101,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.911111111111111)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 40.0, 33.333333333333336)","(21.0, 40.0, 39.4)","(21.0, 36.0, 30.0)"
10-01-2023 16:28:03.940250,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.9375)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 33.333333333333336)","(21.0, 40.0, 39.4)","(21.0, 36.0, 30.0)"
10-01-2023 16:28:05.426658,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.9375)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.1)","(15.0, 38.0, 33.333333333333336)","(21.0, 40.0, 39.4)","(21.0, 36.0, 30.0)"
10-01-2023 16:28:07.014962,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.9375)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.1441176470588235)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.1)","(15.0, 38.0, 33.333333333333336)","(21.0, 40.0, 39.4)","(21.0, 36.0, 30.0)"
10-01-2023 16:28:08.539028,"(2.45, 2.84, 2.8099999999999996)","(6.0, 8.0, 7.9375)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.15, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 33.333333333333336)","(21.0, 40.0, 39.4)","(21.0, 36.0, 28.142857142857142)"
10-01-2023 16:28:10.016337,"(2.45, 2.84, 2.813333333333333)","(6.0, 8.0, 7.9375)","(31.0, 85.0, 70.0)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 34.705882352941174)","(21.0, 40.0, 39.4)","(21.0, 36.0, 29.5)"
10-01-2023 16:28:11.634197,"(2.45, 2.84, 2.792)","(6.0, 8.0, 7.9375)","(31.0, 85.0, 70.0)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 34.705882352941174)","(21.0, 40.0, 39.4)","(21.0, 34.0, 29.5)"
10-01-2023 16:28:13.060689,"(2.45, 2.84, 2.792)","(6.0, 8.0, 7.9375)","(31.0, 85.0, 70.0)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 34.705882352941174)","(21.0, 40.0, 39.4)","(21.0, 34.0, 29.5)"
10-01-2023 16:28:14.389231,"(2.45, 2.84, 2.792)","(6.0, 8.0, 7.962962962962963)","(31.0, 85.0, 80.71428571428572)","(2.5, 3.2, 3.151724137931035)","(71.0, 110.0, 100.625)","(8.5, 12.5, 12.166666666666666)","(15.0, 38.0, 33.8)","(21.0, 40.0, 39.4)","(21.0, 34.0, 29.5)"
