,Opawa Eric,Got Faith,Know Effort,Captain Tim,Goofy Adobe,Texas Jewel,My Curly,Tomfoolery
0,"[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 991225), 13.0, 40.0]"
1,"[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 15, 155652), 13.0, 40.0]"
2,"[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 312808), 13.0, 40.0]"
3,"[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 457275), 13.0, 40.0]"
4,"[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 601307), 13.0, 40.0]"
5,"[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 743895), 13.0, 40.0]"
6,"[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 875571), 13.0, 40.0]"
7,"[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 5513), 13.0, 40.0]"
8,"[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 139624), 13.0, 40.0]"
9,"[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 13.0, 32.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 2.2, 3.55]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 5.5, 13.5]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 15.0, 130.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 275192), 13.0, 40.0]"
