,Burns Bay,Luxury Lad,Be My Rock,Stompem Nz,Animado,Yep Got Chooks,Speak With Sam,Bangkok Deejay,Much Bettor Nz,Karloo Bradley Nz
16-12-2022 14:47:42.090503,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:43.349154,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:44.534185,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:45.749396,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:46.937059,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:48.151650,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:49.399552,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:50.710430,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:52.121004,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:53.364510,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:54.590096,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 61.5)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:55.812591,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:57.057975,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:58.225532,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:47:59.402770,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:00.635162,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:01.803200,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:02.981597,"(1.55, 2.36, 2.195)","(13.0, 22.0, 15.7)","(17.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:04.281208,"(1.55, 2.22, 2.012)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 12.442857142857143)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.333333333333334)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:05.581378,"(1.55, 2.22, 2.056923076923077)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 5.95)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:06.890479,"(1.55, 2.2, 2.1072727272727274)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 5.95)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:08.191742,"(1.55, 2.2, 2.1072727272727274)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 5.95)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:09.517678,"(1.55, 2.2, 2.1072727272727274)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:10.748119,"(1.55, 2.38, 2.2075)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:11.966062,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:13.274375,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:14.509908,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:15.780146,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:17.087576,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:18.459027,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:19.874480,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:21.149766,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:22.414020,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:23.656560,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 76.81818181818181)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:24.885861,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 38.0, 23.454545454545453)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:26.173065,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 36.0, 24.333333333333332)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:27.449438,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:28.775653,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(16.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:30.034899,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:31.275892,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:32.507875,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
16-12-2022 14:48:33.811842,"(1.55, 2.36, 2.2381818181818183)","(14.0, 22.0, 15.7)","(15.0, 34.0, 18.875)","(91.0, 99999, 99990)","(9.0, 13.5, 11.166666666666666)","(61.0, 140.0, 114.28571428571429)","(41.0, 85.0, 68.6)","(4.4, 7.2, 6.4)","(18.0, 99999, 99990)","(13.0, 99999, 99990)"
