,Peytons Wish,Rutland Patch,Saras Tiger,Clover,Lenny Boy,Rock Artist,La Axels Girl,Gozarn
12-01-2023 13:26:11.671561,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 52.5)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.8982608695652174)","(7.0, 15.0, 11.3)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:12.827893,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 52.5)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.8982608695652174)","(7.0, 15.0, 11.3)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:13.975317,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 52.5)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9480000000000002)","(7.0, 15.0, 10.2)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:15.080259,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 52.5)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9480000000000002)","(7.0, 15.0, 12.120000000000001)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:16.108315,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9480000000000002)","(7.0, 15.0, 12.2)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:17.116078,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9480000000000002)","(7.0, 15.0, 12.2)","(5.0, 9.6, 7.085714285714285)"
12-01-2023 13:26:18.182770,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 7.085714285714285)"
12-01-2023 13:26:19.264644,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 7.085714285714285)"
12-01-2023 13:26:20.336835,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:21.464440,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 7.085714285714285)"
12-01-2023 13:26:22.520880,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 7.085714285714285)"
12-01-2023 13:26:23.616316,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 7.085714285714285)"
12-01-2023 13:26:24.998083,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:26.178248,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 8.215384615384615)"
12-01-2023 13:26:27.389872,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 5.92)"
12-01-2023 13:26:28.463376,"(4.0, 7.6, 5.522222222222222)","(11.0, 30.0, 21.25)","(26.0, 95.0, 45.54545454545455)","(26.0, 100.0, 63.5)","(26.0, 100.0, 71.92307692307692)","(1.8, 2.74, 1.9577777777777778)","(7.0, 15.0, 12.2)","(5.0, 9.6, 7.085714285714285)"
