,Purple Flirt,Tuta Rose,Shaggy Rose,Seek And Strike,Beauty Edition,Aerobic System,Diamond Tina,Alpha Ruler
08-01-2023 14:23:52.675402,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 99998, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 155.55555555555554)","(1.8, 2.68, 2.1256)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:23:54.193734,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 155.55555555555554)","(1.8, 2.68, 2.1256)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:23:55.613542,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 155.55555555555554)","(1.8, 2.68, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:23:56.913565,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 155.55555555555554)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:23:58.114847,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 155.55555555555554)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:23:59.238408,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 155.55555555555554)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:00.428220,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 155.55555555555554)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:01.652710,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:02.897285,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:04.193535,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:05.470218,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:06.847308,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.4297872340425535)","(31.0, 90.0, 45.714285714285715)"
08-01-2023 14:24:08.221717,"(10.0, 20.0, 17.157894736842103)","(2.9, 5.0, 3.7989189189189188)","(91.0, 650.0, 553.3333333333334)","(5.5, 10.0, 6.626666666666667)","(18.0, 44.0, 30.136363636363637)","(31.0, 310.0, 80.0)","(1.8, 2.6, 2.3241379310344827)","(31.0, 90.0, 45.714285714285715)"
