,You Turn Baby,Oriental Series,Spritely Glennis,Sweet Chana,Balmain Juror,Demon Kingsbrae,Triangle
15-12-2022 11:11:11.132879,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.120000000000001)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:12.618005,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.120000000000001)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:13.922803,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.36)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:15.211158,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.36)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:16.590655,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.36)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:17.854518,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.36)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:19.086652,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.36)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:20.213498,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.36)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:21.297661,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.120000000000001)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
15-12-2022 11:11:22.503635,"(3.2, 6.0, 4.7)","(6.5, 17.0, 11.120000000000001)","(10.0, 28.0, 17.0625)","(17.0, 46.0, 28.857142857142858)","(4.4, 7.2, 6.161538461538462)","(2.3, 3.0, 2.4106666666666667)","(31.0, 190.0, 88.42857142857143)"
