,Good Chat Wispy,False Confidence,Mepunga Warrior,Our Fabio,Wheel And Go,Lala Reindeer,Spring Casper
07-01-2023 19:00:53.357449,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:00:54.571494,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:00:55.794397,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:00:56.982329,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:00:58.162309,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:00:59.396807,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:01:00.583304,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:01:01.714683,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 37.2)"
07-01-2023 19:01:02.913842,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8141700404858296)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 45.166666666666664)"
07-01-2023 19:01:04.232954,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 34.0)"
07-01-2023 19:01:05.406832,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 34.0)"
07-01-2023 19:01:06.509934,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 34.0)"
07-01-2023 19:01:07.643866,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 34.0)"
07-01-2023 19:01:08.836559,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 34.0)"
07-01-2023 19:01:09.955246,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 34.0)"
07-01-2023 19:01:11.119262,"(4.6, 8.6, 6.309090909090909)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 43.0)"
07-01-2023 19:01:12.264530,"(4.6, 8.4, 6.511111111111111)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 50.0, 43.0)"
07-01-2023 19:01:13.284394,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 160.0, 84.0)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:14.473220,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:15.543304,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:16.698673,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:17.860191,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:19.089864,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:20.324359,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:21.432354,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:22.740577,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.8145344129554655)","(4.2, 6.6, 5.057142857142857)","(8.0, 15.5, 10.5)","(4.8, 9.2, 8.08)","(26.0, 150.0, 47.5)","(13.0, 55.0, 47.0)"
07-01-2023 19:01:23.969234,"(4.6, 8.4, 6.7)","(2.45, 2.82, 2.55)","(4.2, 6.6, 4.529999999999999)","(8.0, 15.5, 10.884615384615383)","(4.8, 9.2, 8.08)","(26.0, 150.0, 52.89473684210526)","(13.0, 55.0, 47.0)"
