,Power Legend,Ugly Nicos,Gold Serenade,Boys Cry,Mi Greyt Mate,Rodeo Legend,Moanastar,Gracious Gracie,Lady Goodfellow,Vardon
09-01-2023 15:43:29.958647,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.57142857142857)","(14.0, 32.0, 22.333333333333332)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.555555555555555)","(7.5, 14.5, 13.625)","(21.0, 36.0, 30.6)","(11.0, 20.0, 17.0)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:31.353275,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.57142857142857)","(14.0, 32.0, 22.333333333333332)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.357142857142858)","(7.5, 14.5, 14.578947368421053)","(21.0, 36.0, 30.315789473684212)","(11.0, 20.0, 19.4)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:32.849971,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.375)","(14.0, 32.0, 28.352941176470587)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.357142857142858)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 20.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:34.278128,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.375)","(14.0, 32.0, 28.352941176470587)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 14.8)","(7.5, 15.0, 14.636363636363637)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:35.779294,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.375)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.357142857142858)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:37.230740,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.375)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 14.704545454545455)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:38.630514,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.375)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 14.8)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:40.070610,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.375)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 14.8)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:41.472055,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.375)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.555555555555555)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:42.870582,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.72222222222222)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.555555555555555)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:44.243836,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.72222222222222)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.555555555555555)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:45.622836,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 25.0)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.555555555555555)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:47.050927,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 24.0)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 164.54545454545453)","(10.0, 15.5, 13.555555555555555)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:48.457759,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.055555555555556)","(19.0, 26.0, 24.0)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.5, 13.555555555555555)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:49.848653,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.0963636363636367)","(19.0, 26.0, 24.0)","(14.0, 32.0, 28.555555555555557)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.5, 13.555555555555555)","(7.5, 15.0, 14.652173913043478)","(21.0, 36.0, 29.454545454545453)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:51.268817,"(17.0, 25.0, 22.875)","(1.95, 2.1, 2.2747115384615384)","(19.0, 26.0, 25.0)","(14.0, 32.0, 25.65909090909091)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.5, 12.583333333333334)","(7.5, 15.0, 14.25)","(21.0, 36.0, 30.25)","(11.0, 21.0, 18.25)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:52.669809,"(17.0, 25.0, 22.875)","(1.95, 2.28, 2.266759259259259)","(19.0, 26.0, 25.0)","(14.0, 32.0, 17.15)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.5, 13.0)","(7.5, 15.0, 14.25)","(21.0, 34.0, 30.666666666666664)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
09-01-2023 15:43:54.076904,"(17.0, 25.0, 22.875)","(1.95, 2.26, 2.1436363636363636)","(19.0, 26.0, 25.0)","(14.0, 32.0, 17.15)","(41.0, 190.0, 143.33333333333331)","(10.0, 15.0, 12.083333333333334)","(7.5, 15.0, 14.25)","(21.0, 32.0, 29.0)","(11.0, 21.0, 20.607142857142858)","(5.0, 5.8, 5.516666666666667)"
