,Flick The Joker,Orara Dan,Boys Light Up,Steel Gambler,Showdown,Cash Ability,Shanghai Gold,Impress Dressel
08-01-2023 18:51:35.758176,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 21.66315789473684)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:37.075451,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 21.66315789473684)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:38.335089,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 21.66315789473684)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:39.613035,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 21.66315789473684)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:40.825404,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 21.66315789473684)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:42.047698,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:43.330252,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:44.550874,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 511.66666666666663)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:45.835848,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 511.66666666666663)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:47.190274,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.4375)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 511.66666666666663)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:48.445386,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:49.757018,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 506.66666666666663)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:51.263172,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:52.900982,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:54.272931,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:55.566381,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:56.722925,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:57.863038,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:51:59.116876,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:00.419377,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 17.742857142857144)","(81.0, 590.0, 494.0)","(4.6, 10.5, 8.011111111111111)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:01.695460,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 24.0, 18.46666666666667)","(81.0, 590.0, 494.0)","(4.6, 10.5, 7.733333333333333)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:02.880989,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 23.0, 18.46666666666667)","(81.0, 590.0, 494.0)","(4.6, 10.0, 8.983333333333334)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:04.008240,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.8)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.983333333333334)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:05.243863,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.409090909090909)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.8)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.983333333333334)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:06.512972,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.8)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.983333333333334)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:07.757195,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.8)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.983333333333334)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:08.876524,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.53125)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.8)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.983333333333334)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:10.040503,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.05)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.983333333333334)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:11.196215,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.5, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.84)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:12.363867,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.65)","(5.0, 6.0, 5.625)"
08-01-2023 18:52:13.615778,"(19.0, 85.0, 48.611111111111114)","(4.8, 5.6, 5.199999999999999)","(2.2, 3.6, 2.7733333333333334)","(17.0, 65.0, 36.25)","(9.0, 22.0, 17.866666666666667)","(81.0, 590.0, 494.0)","(4.6, 9.8, 8.2)","(5.0, 6.0, 5.625)"
